,route,speed,carsnum
173,正北上街146,2.6131246844125005,8
178,正北中街33号,3.500169016045455,11
172,正北上街102号,5.5580746604049995,10
192,正西街57号,6.859792389077778,9
120,府河路1段-217号,7.6628133541,25
176,正北上街95,7.987572742358334,12
150,正东上街66号,8.469279637930233,43
124,府河路1段-95号,8.542023060216668,24
145,正东上街170号,9.19768004814,15
20,丁字街28号,9.538157905509523,21
97,富民路3段,9.56001519922,10
119,府河路1段-211号,9.716129727641666,48
245,通济桥下街108,10.292538992452325,43
113,广都中街203号,10.45820389925,12
179,正北中街37号,10.655885537185716,14
221,祥鹤一街,11.074992879786668,15
144,正东上街166号,11.441920528103449,29
182,正大街61,11.608215899977777,9
37,二江路1段-162,11.646504382315625,8
247,通济桥下街198,11.65358349992306,129
180,正北中街64号,11.689166511629999,10
83,南湖路102,11.727991483370001,10
129,张家巷5号,11.824377374916399,61
238,荷香路一段,11.835973205549998,9
105,广东路,12.001157628086576,9
118,府河路1段,12.028755074755408,37
109,广都上街193,12.277559011088885,36
186,正西街282号,12.379547972266668,9
189,正西街39号,12.946771879513513,37
61,华阳大道2段-218号,13.174168211202858,35
121,府河路1段-54-、56号,13.179522598169228,65
193,正西街60号,13.180528440830555,36
151,正东下街120号,13.46868625305185,27
209,湾河东街35号,13.555586450216667,8
143,正东上街153号,14.290333766020513,39
195,正西街65号,14.411716807302858,35
94,天明塘街,14.53955697994783,23
188,正西街2号,14.570150152037659,81
46,利民一街92,14.575096350195238,21
235,荷韵二街,14.708532742406248,8
260,顺河街315号,14.8602911145,8
68,华阳大道4段-200,14.881746092762501,8
224,秦皇寺西街,15.014737801793752,8
175,正北上街85号-、83号-、81号,15.01981164035,12
48,利民二街69,15.042962425136365,11
191,正西街49号,15.0981088884,10
122,府河路1段-73-、71号,15.125038115699187,123
29,中兴上街239号,15.338905482740003,20
101,广东街153,15.371428158359995,20
149,正东上街57号,15.480605629589283,56
200,水津街110,15.601624420860869,23
19,丁字街18号,15.86720342204375,16
174,正北上街80号,15.9568969237,10
257,雅和街,15.95715770074,15
148,正东上街3,16.019220784474992,48
210,湾河街,16.172102277409163,10
230,美岸路一段,16.51019487820771,42
246,通济桥下街161,16.53593698577875,40
241,藕塘新街8,16.599315145120002,10
196,正西街68号,16.641098504443747,16
123,府河路1段-89-、88-、85-、83号,16.646223781055426,181
190,正西街42号,16.750819583616664,12
59,华新中街97号,16.84136072919445,18
206,海昌路,16.929852194549714,104
117,广都中街239号,16.947735833112386,78
201,水韵路,17.123733545290474,10
106,广宁路,17.134216229143863,72
194,正西街61号,17.143329786278947,19
242,藕塘街117,17.169420379432143,14
130,政府街41,17.30857749720513,13
64,华阳大道3段,17.528648560764708,34
214,牧鱼一路,17.6181202374,8
127,府河路一段,17.6210863127675,56
21,丁字街67,17.89689856480476,21
181,正北中街68号,17.976378857355556,9
33,丽都街165号,17.9766417549,12
70,华阳大道4段-311号,18.174198764347786,45
166,正东中街69号,18.186045181876363,55
62,华阳大道2段-230,18.250344221303454,87
65,华阳大道3段-159号,18.531466830045833,24
197,正西街90号,18.540125797779545,88
41,二江路2段-121号,18.594371660123077,13
74,协和上街275,18.649424092366665,12
102,广东街192,18.717436789208822,17
177,正北中街2号,18.72611822914773,44
256,雅和南五路,18.791799695812497,8
108,广都上街192号,18.8221555634087,92
82,南湖路,18.871672914080357,56
112,广都上街49号,19.013635152626083,23
208,湾河东街,19.11305676959167,8
217,瑞祥西街,19.150045225346528,12
35,九里埂路,19.1780261164,11
71,华阳大道4段-313,19.272393339745836,12
116,广都中街237号,19.434793871026834,82
111,广都上街195号,19.578567329847502,40
146,正东上街181号,19.680780176090167,61
31,丽都街100号,19.74035573247273,11
34,丽都街56号,19.770016723425,12
66,华阳大道3段-191号,19.85239621804167,12
223,祥鹤四街,19.963145762767777,15
136,新程大道,20.0581565044213,87
240,藕塘新街76,20.401751343059093,11
126,府河路3段,20.44116420280161,81
231,美岸路三段,20.91591489106006,26
56,华新中街101号,20.9503211012025,40
167,正东中街80号,21.119178952619606,51
67,华阳大道4段-153号,21.122412140697826,46
184,正西街187号,21.373768746232606,46
43,云龙路,21.500945008948285,17
255,雅和南二路,21.785838238063892,42
164,正东中街241号,21.805364565566666,22
244,通济桥下街,21.948783662328434,17
87,和顺路一段,22.136134663749253,20
254,雅和南一路,22.18260566154238,38
32,丽都街163号,22.234565997140006,15
128,府河路二段,22.514669624607542,38
115,广都中街235号,22.63317324857941,85
80,南湖大道,22.69258886042644,297
147,正东上街192号,22.759100957836065,61
63,华阳大道2段-234-、236号,22.86950187518,10
