,route,speed,carsnum
239,瑞祥东街,6.780326853022222,21
232,滨江路,8.827651883669832,329
140,府河路1段-95号,8.900472661069564,23
275,通济桥街123号,9.1561527312875,8
192,正北中街31号,9.808660991838462,13
129,广都中街203号,10.18474442681579,19
230,湾河街,10.432045096515385,13
193,正北中街33号,10.523622144316667,12
135,府河路1段-217号,10.986164072282856,35
263,藕塘新街76,11.179102709148333,10
195,正北中街37号,11.361807778913635,22
76,华阳大道4段,11.4096836134,8
244,祥鹤一街,11.44881229334643,14
45,二江路2段-121号,11.470922866741176,17
139,府河路1段-92号,11.635632064287499,8
169,正东下街120号,11.64993079414048,42
229,湾河东街35号,11.7981706155,12
113,富民路2段-52,12.074433438160002,10
162,正东上街166号,12.58577921681,20
80,华阳大道4段-311号,12.603919344539653,58
70,华阳大道2段-218号,12.637096426780001,40
196,正北中街39号,12.6449018062375,8
219,水津街110,12.692703194896001,25
53,利民二街69,12.7468848043375,8
147,政府街41,12.774962240407403,27
22,丁字街28号,12.832692592413043,23
161,正东上街153号,12.850175768961362,44
51,利民一街92,13.056351580315788,19
203,正西街231号,13.151981211469998,10
41,九里埂路,13.1685747791,11
163,正东上街170号,13.74195127379524,21
198,正北中街64号,13.854588031646156,13
145,张家巷5号,13.880577625289408,85
194,正北中街35号,13.907676180200001,11
300,龙灯山路1段-86号,13.926499371799999,9
299,龙灯山路1段-55号,13.926499371799999,9
298,龙灯山路1段-145号,13.926499371799999,9
122,广宁路,13.94074755380877,95
197,正北中街43号,13.9556036418,9
276,通济桥街166号,13.960444476295832,8
191,正北中街2号,13.973991421111762,34
168,正东上街66号,14.117188044671698,53
21,丁字街18号,14.141024311033334,15
136,府河路1段-54-、56号,14.149520322675952,79
86,协和上街275,14.156189768814286,14
84,协和上街127,14.160952604136362,11
284,雅和街,14.173590910525,12
33,中兴上街239号,14.215646088404762,21
125,广都上街193,14.235049045475865,29
167,正东上街57号,14.572118433806061,66
133,府河路1段,14.591476710952442,41
265,藕塘街117,14.6584271085,16
225,海昌路,14.687286280204896,165
114,富民路3段,15.00039615579,10
199,正北中街68号,15.052843010377272,22
254,美岸路三段,15.141357399522992,58
190,正北上街85号-、83号-、81号,15.270168604744448,9
134,府河路1段-211号,15.29532664758095,63
209,正西街60号,15.31387661969412,51
132,广都中街239号,15.456246382178232,85
272,通济桥下街198,15.509237147335599,152
153,新程大道,15.5272774763416,135
78,华阳大道4段-200,15.695550541018747,16
85,协和上街14号,15.7767958332,12
268,通济巷7号,16.1065951934625,8
69,华新中街97号,16.14656916034444,27
75,华阳大道3段-191号,16.160642974095,20
206,正西街39号,16.165796777863047,46
208,正西街49号,16.219218932278945,19
118,广东街153,16.23058853713889,18
253,美岸路一段,16.575669887154266,42
137,府河路1段-73-、71号,16.65327331813751,164
270,通济桥下街108,16.770969897948387,62
205,正西街2号,16.81173935819685,111
71,华阳大道2段-230,16.907993642754896,102
128,广都上街49号,17.034631342465914,22
143,府河路一段,17.131445728249236,68
226,海洋路,17.17234056509136,129
231,湾河西街,17.194789371431817,11
131,广都中街237号,17.37181104479725,109
166,正东上街3,17.37505677473913,69
15,G213(益州大道南二段),17.502261917652035,109
74,华阳大道3段-159号,17.567667405300003,30
119,广东街192,17.605343364972224,18
247,秦皇寺西街,17.84130277416518,8
94,南湖路,17.891642289644853,66
138,府河路1段-89-、88-、85-、83号,17.894672767418328,233
211,正西街65号,17.96052796365098,51
107,天明塘街,18.00480552545545,26
127,广都上街195号,18.09551308605926,54
77,华阳大道4段-153号,18.114573812720693,58
63,华新中街204号,18.1320384281125,8
124,广都上街192号,18.31351168227755,98
142,府河路3段,18.40930568771752,90
240,瑞祥西街,18.773232893786364,11
297,龙灯山路,18.789422606453044,115
73,华阳大道3段,18.81839440523049,41
212,正西街68号,18.888242906735297,17
189,正北上街80号,18.931383380175,16
160,梓林巷,19.053614041516663,22
81,华阳大道4段-313,19.142848737085295,17
23,丁字街67,19.207855433830957,21
243,睦邻路,19.245707192408336,42
115,富民路3段-101,19.390928489544997,20
93,南湖西路,19.415518096940154,149
283,雅和南二路,19.482471724935774,58
38,丽都街165号,19.537912398015386,13
274,通济桥街101号,19.85884944088125,8
235,物联一路,19.881596649056885,15
37,丽都街163号,20.009496349720003,10
47,云龙东街,20.093460143951518,33
164,正东上街181号,20.346631659927016,87
35,丽都街100号,20.388398320155556,9
165,正东上街192号,20.424087318305002,80
183,正东中街69号,20.47523229312549,51
36,丽都街140号,20.563096934999997,10
28,东寺北二路,20.56924499532257,50
269,通济桥下街,20.580795958043332,19
100,天保湾大桥,20.665299046370833,8
175,正东中街103号,20.7287291026125,8
72,华阳大道2段-234-、236号,20.800233951055553,9
95,南湖路102,20.801825905526673,15
259,荷韵南路,20.806708752824584,12
121,广东街342,20.93836173850303,11
89,南湖东路,20.974734720380358,126
88,南延线,21.0211125170425,20
207,正西街42号,21.082312176999995,21
220,水韵路,21.1077470742575,15
279,锦江路2段,21.121089089409857,244
108,天研路,21.206229172651593,137
6,G108(麓山大道二段),21.232504052978204,193
144,府河路二段,21.25869546964861,48
288,顺河街315号,21.443999953177777,9
52,利民三街88,21.472664461594448,18
214,正西街99号,21.7791619157625,8
146,悦和一街,21.828911552760523,19
210,正西街61号,21.92537656990741,27
213,正西街90号,21.92714991182792,111
120,广东街246,22.023254547458336,12
256,美邻巷,22.158861975336666,15
271,通济桥下街161,22.42130655683919,37
184,正东中街80号,22.45645628611545,55
126,广都上街193号,22.639458077249994,36
173,正东下街240号,22.714731451200006,23
241,瑞祥路,22.748073026174648,161
117,广东街,22.77107791941678,27
228,湾河东街,22.78872957929,10
130,广都中街235号,23.048576234951277,78
182,正东中街65号,23.192399571604767,63
149,新码头南街15,23.236114930849997,16
61,华新中街101号,23.29518629554419,43
282,雅和南一路,23.40989090132081,63
92,南湖大道,23.65600620154073,342
40,丽都街75号,23.752054823300004,9
98,和顺路一段,23.872829217028062,31
46,二江路二段,23.87300720678287,36
65,华新中街221号,24.191142261362497,8
5,G108(麓山大道一段),24.408415443427966,416
185,正东中街99号,24.441203482270833,24
54,剑南大道南一段,24.527535835238854,656
148,新码头北街32,24.551641865425,18
246,祥鹤四街,24.562037381930004,37
49,兰家沟路,24.735670406928392,9
171,正东下街1号,24.99180713477105,38
106,天府大道南段辅路,25.018173701500913,346
79,华阳大道4段-303号,25.19864904195625,212
64,华新中街220号,25.2137198902375,8
34,中彭路,25.357529780830887,15
186,正公路,25.36296603934421,204
260,荷韵路,25.43603971351354,8
181,正东中街241号,25.471487158986665,15
29,东寺街,25.50955460355808,58
255,美岸路二段,25.649684953685583,53
177,正东中街128号,26.142325886338096,21
150,新码头南街47号,26.146087180649996,48
188,正兴湾大桥,26.59572247598892,321
39,丽都街56号,26.6759947942625,8
176,正东中街109号,26.693183251323084,52
68,华新中街234号,26.83233372947778,9
