,route,speed
129,正北中街35号,5.430989869275
82,广都中街239号,8.698421441015789
155,祥鹤一街,9.896635082043334
89,府河路1段-95号,11.05876045078182
109,正东上街66号,12.059877552241666
161,美岸路一段,13.245996180037102
17,丁字街28号,13.250885965388889
94,张家巷5号,13.563479554821873
67,天明塘街,13.634003528331249
128,正北中街2号,14.071696905846153
127,正北上街95,14.620476241490001
42,华阳大道2段-218号,14.783905176880953
70,富民路3段,14.874916170325001
86,府河路1段-54-、56号,15.913806582564103
142,水津街110,16.148985893825
134,正西街2号,16.262801200783333
81,广都中街237号,16.30086789765652
104,正东上街166号,16.498231354627777
137,正西街61号,16.78547843421818
87,府河路1段-73-、71号,16.860423358000002
76,广都上街193,17.329964996077777
165,通济桥下街108,17.358526910673913
136,正西街60号,17.3795617457375
113,正东下街240号,17.486680494744444
110,正东下街120号,17.512493461357895
103,正东上街153号,17.513938301366665
108,正东上街57号,17.529054109275
162,美岸路三段,17.80841398239715
107,正东上街3,18.485708612934207
93,府河路二段,18.511500070656997
44,华阳大道3段,18.798785550792
146,海昌路,18.828821170002872
91,府河路3段,18.875415800300647
97,新程大道,19.096517544483394
43,华阳大道2段-230,19.145060134969995
49,华阳大道4段-311号,19.215657250672223
74,广宁路,19.295116194905173
41,华新中街97号,19.421569768615385
167,通济桥下街198,19.478338617702327
79,广都上街49号,19.60530577738
25,丽都街100号,19.83737831257
59,南湖路,20.635120697029684
88,府河路1段-89-、88-、85-、83号,20.68355719839282
21,东寺北二路,20.80226664513182
68,天研路,20.9539319241748
174,雅和南一路,20.985016920374516
78,广都上街195号,21.072028972538636
139,正西街90号,21.21914828334777
105,正东上街181号,21.322110547775868
47,华阳大道4段-153号,21.387601582211772
135,正西街39号,21.419631912199993
27,丽都街56号,21.586118639044443
85,府河路1段-217号,21.591043608188006
75,广都上街192号,21.66393842600333
175,雅和南二路,22.092184325650003
138,正西街65号,22.20069764087222
58,南湖西路,22.82944117497174
166,通济桥下街161,22.97508218717083
45,华阳大道3段-159号,23.15534497295385
39,华新中街101号,23.166298910288237
83,府河路1段,23.289652456602628
184,龙灯山路,23.32088812049303
120,正东中街241号,23.442419842177777
80,广都中街235号,23.460813777384622
71,富民路3段-101,23.553519846166665
13,G213(益州大道南二段),23.763464643193707
180,黄龙大道,23.85975467572787
153,瑞祥路,24.15822664641028
121,正东中街65号,24.174756395764003
122,正东中街69号,24.26621649590626
84,府河路1段-211号,24.43998893100278
77,广都上街193号,24.64168080585681
152,瑞祥西街,24.73301870103929
22,东寺街,25.348412619973605
112,正东下街1号,25.352778795146154
106,正东上街192号,25.415871668202325
46,华阳大道3段-191号,25.50738721585556
92,府河路一段,25.533789755755144
30,二江路1段-419号,25.835514382499998
123,正东中街80号,25.981314408931432
171,锦江路2段,26.15646408294215
1,G108,26.23427179429375
72,富民路4段,26.29690930332727
124,正东中街99号,26.316427390786664
131,正西街187号,26.585295070977775
53,南延线,26.7678668379
18,丁字街67,26.902918029850003
57,南湖大道,27.069100043500438
31,二江路二段,27.372773175645456
26,丽都街163号,27.6229150389
118,正东中街223号,27.944093713888886
147,海洋路,28.02707549129544
52,协泰北街,28.473745372829413
102,梓林巷,28.622531237740155
29,二江路1段-307号,28.794074676608336
182,黄龙大道2段,28.845474091037502
177,顺圣路,29.29855602576979
116,正东中街128号,29.367131110093336
159,绿野路三段,29.53425989970873
163,美岸路二段,29.586506570619836
130,正西街175号,29.722076415406256
66,天府大道南段辅路,29.831640923488482
40,华新中街162,29.938542530124998
32,云龙路,29.977845768996534
73,广东街,30.331276356595552
176,顺兴路,30.426257835186664
172,锦江路3段,30.457532038340005
55,南湖北路,30.899124376218417
54,南湖东路,30.989671266217847
6,G213(两江路),31.086922343467972
114,正东下街91号,31.306922621206255
119,正东中街229号,31.84806984587084
48,华阳大道4段-303号,31.902740807375
164,老成仁路,32.122679508406
8,G213(天府大道南段),32.29104230771395
20,万顺路一段,32.37498874151098
56,南湖南路,32.40151667407356
12,G213(益州大道南一段),32.83552486160807
5,G108(麓山大道二段),32.890157550767746
4,G108(麓山大道一段),33.00671707774805
90,府河路2段,33.14802122956111
