,route,speed
136,正北中街37号,7.224932613391665
28,云龙路,8.7548958408
93,府河路1段-95号,9.362497637933334
116,正东上街66号,9.806850094707693
111,正东上街153号,11.511040265766667
115,正东上街57号,11.543944239562961
179,通济桥下街198,12.640290769562668
177,通济桥下街108,12.906209788684093
141,正西街2号,13.456592158802632
117,正东下街120号,13.601324058717651
154,海昌路,14.020556271494813
114,正东上街3,14.209934385810003
78,广宁路,14.312275946306178
135,正北中街2号,14.621661339028574
80,广都上街193,14.671398197033334
50,协和上街275,14.781487520790911
162,祥鹤一街,15.150380806275
39,华新中街97号,15.238383809174998
144,正西街60号,15.455497151157898
169,美岸路一段,15.501995264810418
40,华阳大道2段-218号,15.710701262527273
71,富民路3段-101,15.714867492695001
95,府河路3段,16.019036898753164
45,华阳大道4段-153号,16.177523781793333
82,广都上街195号,16.53532440207037
164,祥鹤四街,16.818627510415382
67,天明塘街,16.864068678045456
146,正西街65号,16.876121131944444
86,广都中街239号,17.06814840205938
97,府河路二段,17.16456947947901
143,正西街49号,17.325194200925
157,湾河街,17.40679412085926
142,正西街39号,17.466007466263164
83,广都上街49号,17.613095319672723
47,华阳大道4段-311号,17.631410068531252
19,东寺北二路,17.887309372803916
170,美岸路三段,17.90396329847875
178,通济桥下街161,17.988764735295458
147,正西街68号,18.1524266442375
96,府河路一段,18.25121855486173
100,政府街41,18.310094168293332
88,府河路1段-211号,18.50348376873096
85,广都中街237号,18.622612222830778
41,华阳大道2段-230,18.652078870326825
42,华阳大道3段,18.992982627588887
24,九里埂路,19.24019895180625
79,广都上街192号,19.274775418994444
57,南湖路,19.416118390082758
75,广东街192,19.76595818145417
68,天研路,19.798175919848404
187,雅和南二路,19.869342534957347
87,府河路1段,19.95013213712778
176,通济桥下街,20.03205401352576
186,雅和南一路,20.182357556946325
129,正东中街69号,20.330895606099997
148,正西街90号,20.59159520431334
98,张家巷5号,20.795877760740627
81,广都上街193号,20.80594227574615
171,美岸路二段,20.90447524137917
51,协泰北街,21.191691578053334
183,锦江路2段,21.225073470771886
105,新程大道,21.391781978634977
91,府河路1段-73-、71号,21.423973964238396
138,正西街187号,21.539200630533333
43,华阳大道3段-159号,21.581200644318184
58,南湖路102,21.691586540427778
195,龙灯山路,21.703635687813957
126,正东中街229号,21.961362416466667
74,广东街153,22.55281278340833
44,华阳大道3段-191号,22.778057496411108
101,新码头南街15,22.828249379475004
36,华新中街101号,22.95574659164375
128,正东中街65号,23.012551300367853
145,正西街61号,23.18443842235909
13,G213(益州大道南二段),23.237423375309394
56,南湖西路,23.30035907211636
84,广都中街235号,23.5330014510077
27,二江路二段,23.92825236994375
52,南湖东路,23.971953909958575
92,府河路1段-89-、88-、85-、83号,24.000166664509578
189,香沙路,24.277600059322502
112,正东上街181号,24.350974597523532
55,南湖大道,24.782194316469816
89,府河路1段-217号,24.8268016512371
120,正东下街217号,24.8548352917
131,正东中街99号,25.01305385500909
125,正东中街223号,25.075852499591665
121,正东下街91号,25.676815051508108
90,府河路1段-54-、56号,25.750670863608335
53,南湖北路,25.821091405476135
184,锦江路3段,25.879766993002825
72,富民路4段,25.975665341808334
69,宁波路东段,26.060964142291667
130,正东中街80号,26.323158478406665
137,正西街175号,26.51805621045789
77,广东街342,26.563331503779168
192,黄龙大道,27.111624803850273
46,华阳大道4段-303号,27.370982789028574
99,悦和一街,27.383879880629635
139,正西街225号,27.467824569394438
20,东寺街,27.752383447600213
123,正东中街128号,27.830006587855557
11,G213(牧华立交桥),28.25218557243448
38,华新中街223号,28.443548801762503
73,广东街,28.474801220036962
66,天府大道南段辅路,28.84382277146243
127,正东中街241号,29.128513621625004
6,G213(两江路),29.235273007284594
155,海洋路,29.29489868908252
160,瑞祥路,29.41596892383704
4,G108(麓山大道二段),30.15272016903149
124,正东中街134号,30.454418560392302
33,剑和路一段,30.638025635469226
23,东林寺北巷,30.713104466849998
122,正东中街109号,30.769166762286375
3,G108(麓山大道一段),31.03651827291163
8,G213(天府大道南段),31.245934608558787
174,荷韵路,31.330202207441666
188,顺兴路,31.48327671572941
110,梓林巷,31.616944239973332
26,二江路1段-307号,31.89124032309231
172,老成仁路,32.01094458209687
25,二江路1段,32.0502063869075
113,正东上街192号,32.211287412788884
119,正东下街1号,32.213089032675
191,麓山大道一段,32.267627204384034
7,G213(天府大道南一段),32.746318756149385
175,蜀州路,32.80453663485337
151,江畔路,32.910481528581684
54,南湖南路,32.986735807086305
12,G213(益州大道南一段),32.99817136341569
14,G213(老成仁路),33.64326182522
181,钟灵路,33.68698942121851
21,东山大道1段,34.1414261714875
94,府河路2段,34.239225310157146
165,空港四路,34.370054485425925
140,正西街292号,34.423514883323534
167,绿野路一段,34.44243369150588
37,华新中街162,35.127055549244446
159,牧华路三段辅路,35.39810373145361
118,正东下街149号,35.62524029072857
168,绿野路三段,35.71097597631207
17,万顺路一段,35.838937817737026
196,龙马路,36.045472736022454
102,新码头南街47号,36.71900981678077
152,沈阳路东段,36.809694116918514
76,广东街246,37.11814475302778
0,,37.163704949121524
16,Y008,37.2931447663148
173,荷韵东路,37.39330746277129
180,通济桥街10,37.42901580224615
70,定安路,37.59949697502222
103,新码头街2,38.143462783276924
60,双黄路,38.989529323656896
163,祥鹤二街,39.038690934435714
48,华阳绕城路,39.465732921445536
22,东山大道一段,39.55176154916676
190,麓山大道1段,39.71661050298203
153,沈阳路西段,40.06707790568979
64,天府大道南二段辅路,40.34598404272634
109,梓州大道辅路,40.46280123623456
1,G108(牧华路三段),40.986143821956496
158,滨江路,42.27325927186771
62,天府大道南一段辅路,43.16451628964275
5,G108辅路,43.57000272722083
34,华府大道3段,43.63758852110807
10,G213(沈阳路西段),43.86119755334629
134,正兴湾大桥,43.96118629669194
106,梓州大道,44.46664037380225
150,武汉路西段辅路,45.03844260972386
185,长顺大道一段,45.11297557315183
32,剑南大道南段辅路,45.974575099754624
29,剑南大道南一段,46.95166924166742
166,红星路南延线,47.067471394961935
104,新码头街2号,47.464126806823074
132,正公路,48.249110843347445
9,G213(成仁路),48.53757935837413
30,剑南大道南一段辅路,49.35174343284214
65,天府大道南段,50.059696013096804
107,梓州大道南一段,50.35124797191792
2,G108(牧华路二段),51.00172582234807
149,武汉路西段,52.123223195876356
108,梓州大道南一段辅路,52.99980793895429
59,双兴大道,53.25953614311074
31,剑南大道南段,53.62727183694984
161,益州大道南一段,53.65062546921642
18,万顺路二段,55.23031691482222
61,天府大道南一段,55.84149711516592
133,正公路辅路,57.882440948099635
156,温家山路,58.19629761402
63,天府大道南二段,59.98258333613571
15,X062(剑南大道南段),60.103346816110715
49,协中路,60.221872407830226
35,华府大道四段,61.26669387950219
182,锦江西43路,65.2502591243625
194,黄龙大道一段,68.9300442493327
193,黄龙大道1段,73.99121999592083
