,route,speed,carsnum
123,滨江路,7.512371829861113,9
60,富民路3段,8.022641724333333,9
63,广宁路,11.527642229543293,41
132,美岸路一段,16.216652276098078,13
106,正北中街2号,16.79704825152,15
69,广都中街239号,16.971780361418332,30
133,美岸路三段,17.4646491974375,16
57,天明塘街,17.499166805892308,13
147,雅和街,17.796027925690005,10
42,南延线,18.369964739535,10
38,华阳大道4段-311号,18.917704472604168,12
48,南湖路,19.197623897034315,17
36,华阳大道4段-153号,19.346788386054808,13
87,正东上街166号,19.557726876525,8
51,和顺路一段,19.714406945425,14
66,广都上街195号,20.191969354362502,16
139,通济桥下街198,20.43070491896151,42
93,正东下街120号,20.471278964411113,9
79,政府街41,20.572854230766666,9
92,正东上街66号,20.818583657446155,13
145,雅和南一路,21.03199988552216,15
47,南湖西路,21.18589778041155,47
120,海昌路,21.199174173513892,36
68,广都中街237号,21.342947191343747,40
90,正东上街3,21.454104257773334,15
111,正西街39号,21.50386147316,10
81,新程大道,21.507897949169667,49
33,华阳大道2段-218号,21.5340557167375,8
146,雅和南二路,21.834248779350812,31
61,富民路3段-101,22.12112493753214,14
58,天研路,22.714720576888887,15
16,东寺北二路,23.132210350194498,20
32,华新中街97号,23.84777647341579,19
134,美岸路二段,23.94378894947081,29
67,广都中街235号,24.038906924793334,30
74,府河路1段-89-、88-、85-、83号,24.6070613314783,63
101,正东中街69号,25.078343780887497,12
5,G108辅路,25.143088825710002,10
13,G213(益州大道南二段),25.159096733651737,32
138,通济桥下街161,25.738504403595456,11
110,正西街2号,25.79475046040476,21
100,正东中街65号,25.815436579526928,26
76,府河路一段,25.844029726792854,14
86,正东上街153号,25.858084635533334,9
72,府河路1段-54-、56号,26.033808970375002,20
34,华阳大道2段-230,26.278009811403123,32
64,广都上街192号,26.48064767441667,24
65,广都上街193号,26.57415451618333,12
70,府河路1段,26.768658464019996,10
112,正西街60号,27.092201445706255,16
75,府河路1段-95号,27.315514191688894,9
17,东寺街,27.47163141230278,18
142,锦江路2段,27.487939508623246,70
