,route,speed,carsnum
170,美岸路一段,11.527786400533335,9
118,正东上街57号,11.822415225386363,22
83,广都上街193,11.950235231829998,10
143,正西街60号,12.393929054168751,16
119,正东上街66号,12.485938963577421,31
44,华阳大道2段-218号,12.715078949996002,25
72,天明塘街,12.922232716911111,18
114,正东上街170号,13.257944718774999,8
96,府河路1段-95号,14.189677911779999,15
117,正东上街3,14.335551372789999,20
163,祥鹤一街,14.377043328468751,8
156,海洋路,14.613513113652703,72
120,正东下街120号,15.075203104763157,19
29,二江路2段-121号,15.194241411175,8
81,广宁路,15.209902417197396,32
151,水津街110,15.251358081258331,12
46,华阳大道3段,15.448821833532,25
101,张家巷5号,15.483200482828572,35
93,府河路1段-54-、56号,15.507777623262502,32
113,正东上街166号,15.63065421762222,9
136,正北中街2号,15.675863989100003,20
142,正西街39号,15.740575976,27
141,正西街2号,15.746561652702773,54
26,中兴上街239号,16.04173003356,10
144,正西街61号,16.084022830533332,18
43,华新中街97号,16.10695259237,20
171,美岸路三段,16.1176511897,17
89,广都中街239号,16.329579593059528,35
132,正东中街99号,16.622662806007693,13
179,通济桥下街198,16.715811271583814,86
177,通济桥下街108,16.84118835744231,26
187,雅和南二路,16.979483860004766,28
63,南湖路102,17.594234217569998,10
49,华阳大道4段-153号,17.870577212982145,14
62,南湖路,17.908136068424827,47
94,府河路1段-73-、71号,17.966796917251564,64
131,正东中街80号,18.409013232462502,24
14,G213(益州大道南二段),18.539206358940305,37
155,海昌路,18.837256424550812,72
186,雅和南一路,19.483984306441442,17
107,新程大道,19.558191078831168,55
19,丁字街67,19.625902068499997,8
178,通济桥下街161,19.632538503648274,29
32,利民一街92,19.6504211967375,8
160,瑞祥西街,19.7558294177,8
55,协和上街275,19.99445462383125,8
80,广东街192,20.254602302724997,8
115,正东上街181号,20.422896196287503,32
146,正西街68号,20.49584542864,10
45,华阳大道2段-230,20.552282351135418,48
54,协和上街127,20.57793293305,8
98,府河路3段,20.593177278547408,59
82,广都上街192号,20.646254543029265,41
48,华阳大道3段-191号,20.881158630977776,9
129,正东中街65号,21.129650560045235,21
73,天研路,21.14780558411966,80
116,正东上街192号,21.270289292636836,38
112,正东上街153号,21.353933911524997,16
188,雅和街,21.373720676681817,11
79,广东街153,21.40995844069,10
99,府河路一段,21.428315113356966,56
51,华阳大道4段-311号,21.545491027263633,22
85,广都上街195号,21.777103405108335,24
95,府河路1段-89-、88-、85-、83号,21.82170585713291,113
88,广都中街237号,21.89631377397273,33
147,正西街90号,22.005110361152774,54
74,宁波路东段,22.03275843045625,8
12,G213(牧华立交桥),22.188074075569997,20
92,府河路1段-217号,22.237798254397216,36
61,南湖西路,22.36085991489682,68
145,正西街65号,22.508380216814288,21
165,祥鹤四街,22.6314438990125,8
47,华阳大道3段-159号,22.70177294825625,16
100,府河路二段,23.139279276992994,35
35,剑南大道南一段辅路,24.075585890495383,119
34,剑南大道南一段,24.292514876405022,209
125,正东中街109号,24.56123651634091,22
127,正东中街223号,24.784010376535,20
183,锦江路2段,24.784640613995055,115
30,二江路二段,24.830594114060002,10
4,G108(麓山大道一段),25.043234067372527,179
41,华新中街101号,25.11671664116666,18
189,顺兴路,25.176453285515006,20
90,府河路1段,25.391119522550003,20
77,富民路4段,25.57310782139167,12
91,府河路1段-211号,25.901751808239208,51
38,剑和路一段,25.958191002214285,21
5,G108(麓山大道二段),26.220579550511673,115
22,东寺北二路,26.26910385017386,19
84,广都上街193号,26.486689322456247,16
130,正东中街69号,26.803994710184615,26
172,美岸路二段,27.031242085035206,16
31,凤凰路,27.038885155648146,9
161,瑞祥路,27.11613676835932,54
33,利民三街88,27.1477035152875,8
56,协泰北街,27.228150305159094,22
123,正东下街217号,27.42941904524091,11
60,南湖大道,27.439283408934774,161
21,万顺路一段,27.460327656244335,25
193,黄龙大道,27.511627892457906,49
137,正西街175号,27.5125765816,23
50,华阳大道4段-303号,27.782915398302734,85
138,正西街187号,27.802391146260007,25
28,二江路1段-307号,27.823539128966665,9
71,天府大道南段辅路,27.84459021720363,137
128,正东中街229号,27.895688061573686,19
124,正东下街91号,27.920046383273807,42
173,老成仁路,28.230421945678298,43
87,广都中街235号,28.331614975274288,35
57,南湖东路,28.391941881629418,34
122,正东下街1号,28.653192875416668,15
25,东林寺北巷,28.666093621824995,10
58,南湖北路,28.771629188110836,80
8,G213(天府大道南一段),29.082482500116317,81
86,广都上街49号,29.309414251154166,12
78,广东街,29.66807150894625,20
191,麓山大道1段,30.20205150211895,164
9,G213(天府大道南段),30.4081654948705,308
15,G213(老成仁路),30.647499610575,48
184,锦江路3段,30.694516497072975,74
13,G213(益州大道南一段),30.77665527365075,45
139,正西街225号,31.743593754489474,19
59,南湖南路,31.769672539167452,72
126,正东中街134号,31.79444203493333,12
196,龙灯山路,31.96463359092187,32
23,东寺街,32.17140377643009,19
153,沈阳路东段,32.21855571377934,14
27,二江路1段,32.41742125454706,17
192,麓山大道一段,32.806867427075204,16
152,江畔路,33.00052048565803,36
7,G213(两江路),33.38673974465222,64
42,华新中街162,33.6085324205,15
168,绿野路三段,33.78639715616255,45
102,悦和一街,33.9648291678,8
111,梓州大道辅路,34.39568876708173,178
190,顺圣路,34.7839807847875,8
97,府河路2段,35.066836796137494,24
148,武汉路东段辅路,35.10068071218854,8
75,宁波路东段辅路,35.12084399148958,8
175,荷韵南路,35.52401653124236,8
110,梓州大道南一段辅路,35.75942639737222,21
197,龙马路,35.98881751653934,11
166,红星路南延线,36.22052930309,125
1,G108(牧华路三段),36.47092513461079,335
121,正东下街149号,36.733287732239994,15
157,滨江路,36.76113671859675,57
167,绿野路一段,36.93209196925501,20
24,东山大道一段,37.204895895875524,16
154,沈阳路西段,37.2071513588968,92
104,新码头南街47号,37.347841856073806,21
6,G108辅路,37.3921130739,12
180,通济桥街10,37.59737800595333,15
105,新码头街2,37.67661261418235,17
140,正西街292号,37.678077218027276,22
103,新码头北街32,37.94705780004,10
18,Y008,38.945663002693074,22
158,牧华路三段辅路,39.206939728285555,153
20,万东路,39.49001465219668,10
70,天府大道南段,39.817132900161035,68
52,华阳绕城路,39.9364554002809,56
174,荷韵东路,39.98413486040909,11
39,华府大道3段,40.10635273441382,35
109,梓州大道南一段,40.398357382717556,82
106,新码头街2号,40.487659088959994,10
159,物联大道,40.69629129710072,14
150,武汉路西段辅路,42.42532724799859,87
185,长顺大道一段,42.64626720590947,81
135,正兴湾大桥,43.009368553044744,58
76,定安路,43.234303153018324,15
