,route,speed
47,雅和南一路,17.98897809453563
12,华阳大道4段-311号,18.62133968265625
23,广都中街237号,20.200849277695454
35,正西街2号,21.469903595334372
6,东寺北二路,22.93548931500208
48,雅和南二路,23.108073177285
26,府河路1段-89-、88-、85-、83号,23.2107117240175
39,正西街90号,24.297631472973677
25,府河路1段-73-、71号,24.679369354337503
44,通济桥下街198,26.191252607697226
40,海昌路,26.316949902595834
38,正西街65号,26.54759221698
21,广都上街195号,26.79182663785
22,广都中街235号,27.033428801139998
36,正西街39号,27.147623611137497
24,广都中街239号,28.030080334054546
32,正东上街66号,29.069761871100003
31,正东上街3,30.1136994948625
11,华阳大道4段-303号,30.15550113432308
27,新程大道,30.694147889642995
10,华阳大道2段-230,30.8772886599
7,东寺街,32.32310778620833
16,南湖大道,32.765175610887724
17,南湖西路,32.80667575596852
3,G213(天府大道南一段),33.20649817658939
14,南湖北路,33.32885407056309
50,龙灯山路,33.4520277310875
1,G108(麓山大道一段),33.60526652078449
20,天府大道南段辅路,33.65883967173235
43,通济桥下街108,34.05036452311363
5,G213(老成仁路),36.27455749362727
41,牧华路三段辅路,36.587311519704166
37,正西街60号,36.6040289503375
46,锦江路3段,37.354679167535714
15,南湖南路,37.78357178066179
4,G213(天府大道南段),37.943768645181905
45,锦江路2段,38.29396396686666
2,G108(麓山大道二段),40.073005848135004
33,正西街187号,40.491668345045454
29,梓州大道南一段,46.2363523040377
9,剑南大道南段辅路,47.02620855677537
0,G108(牧华路三段),47.49898249000404
34,正西街292号,49.028683201655554
49,麓山大道1段,50.023486611505824
30,梓州大道辅路,52.60967903117967
28,梓州大道,56.244471742812124
42,红星路南延线,57.09618860555599
13,协中路,59.7338684940125
8,剑南大道南段,60.750983928558014
19,天府大道南段,64.42689403809644
18,天府大道南一段,67.3770670976375
