,route,speed
127,正北中街33号,12.056699333987499
147,滨江路,12.267088370614168
74,广都上街193,13.623230121118183
39,华阳大道2段-218号,14.545141191679999
72,广宁路,14.883268629088972
126,正北中街2号,14.915595890613638
16,丁字街28号,15.572382824593749
67,天明塘街,15.74362681121923
145,湾河街,15.931278738411667
57,南湖路,16.526922142801524
13,G213(益州大道南二段),16.744384853962487
158,美岸路一段,17.132062627972484
108,正东上街66号,17.76437884948
47,华阳大道4段-313,17.796914255888893
76,广都上街195号,17.865021364888463
159,美岸路三段,17.955274840296013
77,广都上街49号,18.373319891018184
163,藕塘新街76,18.44370605596875
146,湾河西街,18.6541979709
79,广都中街237号,18.6667294324359
60,和顺路一段,18.738425708666668
92,政府街41,18.921848376963634
106,正东上街3,19.090559209395998
132,正西街2号,19.2671605438935
80,广都中街239号,19.26766416766296
165,通济桥下街108,19.322365520821425
174,雅和南一路,19.60838023342364
175,雅和南二路,19.62894495234135
164,藕塘新街8,20.058844116677776
167,通济桥下街198,20.12987065470259
95,新程大道,20.13183556610947
109,正东下街120号,20.329650537792308
44,华阳大道4段-153号,20.613089486775
56,南湖西路,21.138335786930224
139,水津街110,21.173674111066667
107,正东上街57号,21.365997285233334
86,府河路1段-89-、88-、85-、83号,21.400053835879493
133,正西街39号,21.483943558789473
18,东寺北二路,21.88967785937321
135,正西街65号,22.020705535300007
73,广都上街192号,22.079256395343904
102,正东上街153号,22.15670585114706
41,华阳大道3段,22.297436428328574
151,睦邻路,22.378117679855556
136,正西街90号,22.392576320037005
101,梓林巷,22.596763483091667
40,华阳大道2段-230,22.92202368118085
103,正东上街166号,22.927070021277775
143,海昌路,23.099795925147376
46,华阳大道4段-311号,23.1571027297
134,正西街60号,23.176940065304997
85,府河路1段-73-、71号,23.195639019962492
149,瑞祥路,23.291552022309375
38,华新中街97号,23.609165619743482
120,正东中街69号,23.910147960993754
51,南延线,24.126623040825
91,张家巷5号,24.23393677408975
68,天研路,24.45933958648425
119,正东中街65号,24.467923209588882
160,美岸路二段,24.6673310513816
75,广都上街193号,24.71020968176667
171,锦江路2段,24.93762162125264
88,府河路3段,25.656506412546427
24,九里埂路,26.0523265908625
23,丽都街165号,26.227008862122222
19,东寺街,26.280323849858668
90,府河路二段,26.354877069012137
32,剑和路一段,26.38914075273461
66,天府大道南段辅路,26.594973254856757
153,祥鹤四街,26.71561317705
42,华阳大道3段-159号,26.769234405683335
53,南湖北路,26.97902810709128
166,通济桥下街161,27.68711789129615
43,华阳大道3段-191号,27.803243261211108
162,荷韵路,27.90507710880074
22,丽都街163号,27.974117839300007
121,正东中街80号,28.03743710517499
36,华新中街101号,28.143339701199995
96,杭州路西段,28.175995629850835
104,正东上街181号,28.353735551439996
172,锦江路3段,28.657875325358493
78,广都中街235号,28.934134204858108
182,龙灯山路,28.99632357081191
21,东林寺北巷,29.119433184329168
12,G213(益州大道南一段),29.31775838102631
122,正东中街99号,29.334245885439994
55,南湖大道,29.41508887626652
118,正东中街229号,29.581326709690913
117,正东中街223号,29.73646934530589
50,协泰北街,29.737471718685416
71,广东街,29.91733678213616
70,富民路4段,30.10212110176667
129,正西街187号,30.306692781639132
105,正东上街192号,30.373431480402854
89,府河路一段,30.74636476833416
112,正东下街1号,31.098491750793936
17,万顺路一段,31.12206178293147
6,G213(两江路),31.145353821697277
141,沈阳路东段,31.16083890678544
8,G213(天府大道南段),31.478284401492594
54,南湖南路,31.481291965223132
69,定安路,31.570301029290917
45,华阳大道4段-303号,31.675212587550163
113,正东下街91号,31.847017882849997
84,府河路1段-54-、56号,31.894838612000008
116,正东中街211号,31.974183394449998
176,顺兴路,32.205023926938466
156,绿野路三段,32.618800199851094
161,老成仁路,32.91615144766429
25,二江路1段,32.95418748485
179,黄龙大道,33.06644586591086
14,G213(老成仁路),33.10341727012556
0,,33.8308407481746
128,正西街175号,33.88059360443334
130,正西街225号,33.91080483631251
52,南湖东路,33.9382521414394
3,G108(麓山大道一段),33.93861124173447
5,G108辅路,34.000147963014996
87,府河路2段,34.035955606650006
7,G213(天府大道南一段),34.08400591209744
37,华新中街162,34.2109501663625
144,海洋路,34.26411956851924
114,正东中街109号,34.65734217048261
178,麓山大道一段,34.69483587985718
150,益州大道南一段,34.97451930097197
15,Y008,35.11757482119588
27,二江路二段,35.3254445625409
4,G108(麓山大道二段),35.34546479106087
110,正东下街125号,36.07973324136
81,府河路1段,36.3012755119
155,绿野路一段,36.528180936245455
94,新码头街2,36.55312128227273
11,G213(牧华立交桥),37.25907079226956
26,二江路1段-307号,37.339669074425
99,梓州大道南一段辅路,37.84555578343378
82,府河路1段-211号,37.866520181905265
20,东山大道一段,37.9691335136898
115,正东中街134号,38.01320484910713
48,华阳绕城路,38.834299614709124
142,沈阳路西段,38.868469239059536
138,武汉路西段辅路,38.88515370877371
59,双黄路,38.980390112706125
131,正西街292号,38.99211249041818
148,牧华路三段辅路,39.29295486555914
152,祥鹤二街,39.412806965650006
140,江畔路,39.64123878558537
64,天府大道南二段辅路,39.72187289305808
169,钟灵路,40.01154891251026
100,梓州大道辅路,40.14444245599344
93,新码头南街47号,40.159980168154554
111,正东下街149号,40.64753079609999
2,G108(牧华路二段),40.6687484671323
83,府河路1段-217号,40.77639830655385
168,通济桥街10,41.904564636437506
62,天府大道南一段辅路,42.05887039961763
34,华府大道3段,42.28294169843044
125,正兴湾大桥,42.620490927872225
157,绿野路二段,43.312747899829105
1,G108(牧华路三段),43.671535788939394
98,梓州大道南一段,43.71074039772912
31,剑南大道南段辅路,44.04112309221646
177,麓山大道1段,44.11294086030194
173,长顺大道一段,44.372856364151296
28,剑南大道南一段,44.7186734328682
154,红星路南延线,45.028821212410286
58,双兴大道,45.96659448580893
170,锦江西43路,46.258449371131945
97,梓州大道,47.153884372223494
10,G213(沈阳路西段),47.64347215534167
123,正公路,47.89683711360856
29,剑南大道南一段辅路,48.109492462342715
137,武汉路西段,49.98711199921117
63,天府大道南二段,52.15422783320533
124,正公路辅路,53.196722348442506
30,剑南大道南段,53.89678923727893
61,天府大道南一段,56.23365531751216
35,华府大道四段,56.97968339481697
9,G213(成仁路),57.8887751486124
65,天府大道南段,59.492962482545096
181,黄龙大道一段,59.58711775454423
49,协中路,61.99997535411937
180,黄龙大道1段,65.71903664704546
33,华府大道,69.30467821263332
