,route,speed,carsnum
18,丁字街28号,10.047795370975,8
71,天明塘街,10.440248990469446,18
179,通济桥下街108,10.542531200748213,28
118,正东上街66号,11.053234426820834,24
113,正东上街170号,11.42647989374,10
181,通济桥下街198,12.14887244101978,70
50,华阳大道4段-153号,13.005400439146428,14
94,府河路1段-95号,13.88924905723,10
91,府河路1段-54-、56号,14.0328235826,33
99,张家巷5号,14.094201796137499,32
172,美岸路一段,14.389603596851849,18
112,正东上街153号,14.649739981238888,18
116,正东上街3,15.000943611315385,26
173,美岸路三段,15.113423099357144,14
87,广都中街239号,15.182771020411103,36
103,新码头南街4号,15.6019050544,8
62,南湖路,15.659129018964737,32
143,正西街2号,15.6930868805279,43
119,正东下街120号,15.731752584399999,19
137,正北上街85号-、83号-、81号,15.780818616650002,8
144,正西街39号,15.979781931144446,18
105,新程大道,16.036821931594517,86
155,海昌路,16.088208815947024,68
52,华阳大道4段-311号,16.120110439057694,26
79,广宁路,16.237406303840253,47
81,广都上街193,16.238278693337502,8
96,府河路3段,16.259616477152985,58
117,正东上街57号,16.36701611819584,24
89,府河路1段-211号,16.632388773421212,33
44,华新中街97号,16.640982867253335,15
33,利民一街92,16.687768549250002,10
188,雅和南一路,16.858515993571732,25
90,府河路1段-217号,16.965669190455998,25
45,华阳大道2段-218号,17.504958029584618,13
98,府河路二段,17.676579771129337,25
83,广都上街195号,18.04347655214444,18
147,正西街65号,18.125053756940915,22
151,汉州路,18.18083406590222,9
180,通济桥下街161,18.20647817408125,16
30,二江路2段-121号,18.240705664605553,9
84,广都上街49号,18.392542385553334,15
92,府河路1段-73-、71号,18.39730409555985,66
138,正北中街2号,18.757135576120003,15
80,广都上街192号,19.018083194854757,42
129,正东中街65号,19.07436981801666,24
156,海洋路,19.082789021472173,77
86,广都中街237号,19.322421294434886,43
97,府河路一段,19.36343969631768,33
146,正西街60号,19.378083036906666,15
158,滨江路,19.785558788399694,95
115,正东上街192号,19.838661689540007,35
145,正西街42号,19.839915863245455,11
48,华阳大道3段-159号,19.89651591494706,17
136,正北上街80号,19.9505697518625,8
148,正西街90号,20.05253621208572,42
130,正东中街69号,20.0915046849087,23
114,正东上街181号,20.149525522634484,29
13,G213(益州大道南二段),20.16265504350868,53
164,睦邻路,20.486706211549997,15
111,梓林巷,20.612878608530004,10
74,宁波路西段,20.6802259495875,8
72,天研路,20.845725327868536,97
132,正东中街99号,21.668893735738457,13
21,东寺北二路,21.93425981408889,15
47,华阳大道3段,22.11571052007222,18
93,府河路1段-89-、88-、85-、83号,22.210039871036575,93
177,藕塘新街8,22.361686517944445,9
77,富民路4段,22.426077002775,10
49,华阳大道3段-191号,22.667754519663635,11
185,锦江路2段,22.697187817364174,90
88,府河路1段,22.84585002602083,12
46,华阳大道2段-230,22.923483208007887,38
85,广都中街235号,23.06725528942563,39
25,丽都街100号,23.225435716510002,10
26,丽都街163号,23.257670548400004,12
162,瑞祥路,23.36018787684238,63
4,G108(麓山大道二段),23.5587043953507,119
57,南湖东路,23.66613649728125,40
82,广都上街193号,23.679332738030766,13
70,天府大道南段辅路,23.70830982439604,148
174,美岸路二段,23.788631774638368,29
189,雅和南二路,23.87814803226288,22
60,南湖大道,24.07381188242769,161
131,正东中街80号,24.139809285095833,24
196,龙灯山路,24.286243387629998,50
3,G108(麓山大道一段),24.342920760765505,193
139,正西街175号,24.363860909599996,16
101,新码头南街15,24.472044842268886,9
42,华新中街101号,24.6121828886,11
27,丽都街56号,24.818699359950003,10
123,正东下街240号,25.065640594409093,22
22,东寺街,25.174291724529194,25
176,荷韵南路,25.42035265802118,8
11,G213(牧华立交桥),25.44683979850303,33
61,南湖西路,25.465530700129676,46
36,剑南大道南一段辅路,25.674333088675837,186
140,正西街187号,25.818418674935707,28
190,顺兴路,25.83011600278426,27
160,物联一路,25.86854631916667,9
127,正东中街223号,27.06505654353809,21
51,华阳大道4段-303号,27.111402536624492,100
55,协泰北街,27.592688745271428,14
6,G213(两江路),27.614758267947465,81
8,G213(天府大道南段),28.11888605411458,332
106,杭州路西段,28.125553263245934,8
39,剑和路一段,28.17119212692727,22
35,剑南大道南一段,28.443415147593182,268
56,南延线,28.639099189765,10
19,万顺路一段,28.74229161658643,43
76,定安路,29.071755036509998,15
78,广东街,29.15129719278375,8
43,华新中街162,29.307052787872728,11
166,祥鹤四街,29.544500077598613,12
7,G213(天府大道南一段),29.738595090522836,81
141,正西街225号,29.81888666753333,12
121,正东下街1号,30.03812388740357,14
124,正东下街91号,30.288496942412188,41
191,麓山大道1段,30.331380702384237,198
175,老成仁路,30.494174711312702,59
186,锦江路3段,30.872221752836534,52
14,G213(老成仁路),30.877803483551723,58
58,南湖北路,30.947536614257206,64
122,正东下街217号,31.250762385099996,11
24,东林寺北巷,31.524190616158332,12
125,正东中街109号,31.544260429404165,24
128,正东中街229号,31.732780721250002,20
193,黄龙大道,31.787537276206734,54
178,蜀州路,32.06184893921818,11
34,利民三街88,32.390405824462505,8
100,新码头北街32,32.75997603188846,13
110,梓州大道辅路,32.83785439623426,198
168,红星路南延线,32.9394755973992,142
126,正东中街134号,33.41291240077857,14
59,南湖南路,33.82342149871426,55
5,G108辅路,34.01571701780001,12
17,Y008,34.08593097549524,22
29,二江路1段-307号,34.132719071225,8
75,宁波路西段辅路,34.32100558980833,8
95,府河路2段,34.669536482915554,15
153,沈阳路东段,35.10722216232715,21
12,G213(益州大道南一段),35.28614041769866,65
170,绿野路三段,35.726751914526474,44
154,沈阳路西段,35.91580980122395,164
192,麓山大道一段,36.17036939970213,32
102,新码头南街47号,36.176506297746,25
32,云龙东街,36.19528095645,8
73,宁波路东段,36.19675203403667,10
1,G108(牧华路三段),36.19968414140299,410
69,天府大道南段,36.35698733146592,90
53,华阳绕城路,36.55673103259683,51
23,东山大道一段,36.76495577980641,19
161,物联大道,37.14238036578126,12
169,绿野路一段,37.401796843815696,17
108,梓州大道南一段,37.57229069021741,84
31,二江路二段,37.633031572161116,9
152,江畔路,37.66414075877271,51
142,正西街292号,38.19840177074999,24
104,新码头街2,38.34148867360237,21
182,通济桥街10,39.63234246301,10
68,天府大道南二段辅路,39.71528263645279,25
28,二江路1段,40.59459185878462,13
159,牧华路三段辅路,40.60502965999886,186
120,正东下街149号,41.25257764436875,16
40,华府大道3段,41.81532669349242,33
0,,42.522815489509284,73
183,钟灵路,43.31368961177273,11
150,武汉路西段辅路,43.76729826335452,117
167,空港四路,45.711438369426666,8
109,梓州大道南一段辅路,45.810703301570136,24
107,梓州大道,46.44796061952776,123
171,绿野路二段,46.49950088784343,11
64,双黄路,46.739936304910415,16
66,天府大道南一段辅路,47.40779168692163,69
135,正兴湾大桥,47.42023689876667,88
67,天府大道南二段,48.11391179656304,23
63,双兴大道,48.2707904102425,20
2,G108(牧华路二段),48.31690547190384,67
149,武汉路西段,48.521481437596016,98
38,剑南大道南段辅路,48.89425810639786,211
187,长顺大道一段,49.284527686789275,103
157,温家山路,49.45954196247987,13
133,正公路,49.519789117825724,63
20,万顺路二段,49.54571447795001,12
165,祥鹤二街,51.399502109742755,83
134,正公路辅路,52.49339334373991,37
37,剑南大道南段,53.1244342027298,292
16,X062辅路,53.33305730781577,8
65,天府大道南一段,53.61953653695148,76
10,G213(沈阳路西段),53.621078284799985,46
184,锦江西43路,53.803588261319774,67
163,益州大道南一段,53.94906751278101,75
41,华府大道四段,55.08243105638344,31
9,G213(成仁路),55.838770429481016,53
15,X062(剑南大道南段),56.303135843286064,43
195,黄龙大道一段,59.225873774975554,15
194,黄龙大道1段,63.69234612450768,13
54,协中路,64.67268794848168,71
