,route,speed,carsnum
205,湾河东街35号,6.881130914172222,9
178,正北中街37号,7.44386307,9
176,正北中街33号,7.616067588688889,9
177,正北中街35号,7.917166066393333,15
125,府河路1段-95号,9.969957865942106,19
218,祥鹤一街,10.834823971095833,16
116,广都中街239号,11.186731505038543,48
206,湾河街,11.873263952189582,8
174,正北上街95,12.496520462553848,13
98,富民路2段-52,12.5964181620125,8
180,正大街23,13.395332218400002,9
146,正东上街170号,13.52530440252,15
39,二江路2段-121号,13.598749425407146,14
151,正东上街66号,13.779598176386273,51
181,正大街61,13.846075166383335,12
93,天明塘街,14.130928670367854,28
189,正西街60号,14.591860885035484,31
58,华阳大道2段-218号,14.648400332856252,32
247,雅和街,14.7235916907625,8
130,张家巷5号,14.912146073335595,59
99,富民路3段,15.017467446960001,10
152,正东下街120号,15.089229830056095,41
226,美岸路一段,15.221381053375305,38
121,府河路1段-54-、56号,16.24216355490274,73
20,丁字街28号,16.312846097747368,19
187,正西街2号,16.338871661350126,78
115,广都中街237号,16.628580140251767,85
110,广都上街193,16.99971731847222,18
198,水韵路,17.039495438211112,9
70,华阳大道4段-313,17.10622913579167,12
67,华阳大道4段-200,17.123027308841667,12
231,荷韵二街,17.217832156825,8
144,正东上街153号,17.25497596284545,33
150,正东上街57号,17.327460409554764,42
197,水津街110,17.338567343883334,24
145,正东上街166号,17.435880578095833,24
220,祥鹤四街,17.609317589211113,9
149,正东上街3,17.748285488394444,36
227,美岸路三段,17.811145405185215,23
44,利民一街92,17.89095052309091,11
190,正西街61号,17.928477017741667,24
73,协和上街127,18.10308424082,10
108,广宁路,18.211613201104033,64
175,正北中街2号,18.291179164932355,34
122,府河路1段-73-、71号,18.40009253899894,141
185,正西街231号,18.464630741916665,12
202,海昌路,18.759693578469857,94
62,华阳大道3段,18.775923729314638,41
112,广都上街195号,18.895440987965557,45
19,丁字街18号,19.189537146391668,12
33,丽都街165号,19.250200806625,8
45,利民三街88,19.289020130623076,13
127,府河路3段,19.31704082814549,102
235,通济桥下街,19.31870722975,13
59,华阳大道2段-230,19.416459644193974,83
191,正西街65号,19.439327472519352,31
105,广东街192,19.455335010383337,15
137,新程大道,19.49068287913039,95
238,通济桥下街198,19.501720145836583,133
30,中兴上街239号,19.526201747825002,12
236,通济桥下街108,19.58695434275395,38
129,府河路二段,19.629436278221732,51
41,云龙路,19.784615851517497,26
31,丽都街100号,20.152631697147054,17
56,华新中街97号,20.18146124110909,22
188,正西街39号,20.67569985065758,33
82,南湖路,20.817435035621163,63
193,正西街90号,20.83651969845438,80
256,黄龙大道2段,20.87019379378,15
131,政府街41,20.99387998144,10
104,广东街153,21.02805064060729,16
66,华阳大道4段-153号,21.084073519703225,31
109,广都上街192号,21.11710969116237,89
69,华阳大道4段-311号,21.292640406005777,52
117,广都中街99号,21.3557065396125,8
60,华阳大道2段-234-、236号,21.37665371784,10
74,协和上街275,21.584200787980002,10
173,正北上街85号-、83号-、81号,21.623954952375005,16
100,富民路3段-101,21.654592538675008,16
123,府河路1段-89-、88-、85-、83号,21.656341125989083,205
156,正东下街240号,21.68614509267727,22
124,府河路1段-92号,21.688889708076925,13
165,正东中街65号,21.842571544495996,50
101,富民路3段-78,21.843531997875004,8
179,正北中街64号,21.88707666835,10
245,雅和南一路,22.086545170583996,43
237,通济桥下街161,22.092088696091384,29
34,丽都街56号,22.165793479668743,16
94,天研路,22.29244877683101,139
25,东寺北二路,22.38218408149006,26
111,广都上街193号,22.436361327590543,37
213,瑞祥西街,22.50727073647806,14
166,正东中街69号,22.557216260875855,58
147,正东上街181号,22.666851619069817,53
63,华阳大道3段-159号,22.89745632651724,29
113,广都上街49号,23.102513147895834,24
172,正北上街80号,23.259154166355554,9
246,雅和南二路,23.337207984898193,37
120,府河路1段-217号,23.359991265662742,51
57,华江路,23.472440936703574,14
215,田家寺巷,23.610639566255557,9
138,杭州路西段,23.7106318204335,9
81,南湖西路,23.888481189851888,91
114,广都中街235号,23.90440057930675,74
210,物联一路,23.956313033532858,15
27,东山大道1段,24.163312641196157,13
251,香沙路,24.4021123580025,8
14,G213(益州大道南二段),24.498318268207818,71
86,和顺路一段,24.53741152074067,15
