,route,speed
28,云龙路,8.752810113521212
131,正北中街35号,9.63206847559091
143,水津街110,11.417759106155554
130,正北中街2号,11.524702578830771
112,正东上街66号,12.305539914003573
106,正东上街166号,12.705823821037502
77,广都上街193,12.820012681149999
89,府河路1段-95号,12.838041852780954
107,正东上街170号,12.882629346472726
40,华阳大道2段-218号,13.490361532307142
67,天明塘街,13.98624780305
94,张家巷5号,14.302756510101469
147,海昌路,14.467357813686194
57,南湖路,14.779687318348808
138,正西街60号,14.852915299121051
105,正东上街153号,14.93362196348
72,广东街153,15.365437654045452
111,正东上街57号,15.459275970244448
17,丁字街18号,16.331146696766666
91,府河路3段,16.55281724888896
24,中兴上街239号,16.597100837787497
155,祥鹤一街,16.691547646612122
49,协和上街275,16.89406943625
167,通济桥下街108,17.401740623121874
81,广都中街237号,17.852902759460875
82,广都中街239号,17.8587776496825
136,正西街2号,17.888384726652276
169,通济桥下街198,18.014235556208753
68,天研路,18.049047065319126
110,正东上街3,18.246049147491306
163,美岸路三段,18.38790604534
164,美岸路二段,18.432390881714568
181,香沙路,18.522514665833334
86,府河路1段-54-、56号,18.649491512954544
42,华阳大道3段,18.739667431788888
162,美岸路一段,18.770305780690908
177,雅和南二路,19.165319888298217
39,华新中街97号,19.259307404125
78,广都上街193号,19.5540135737375
87,府河路1段-73-、71号,19.624945204293287
73,广东街192,19.847703676610003
41,华阳大道2段-230,19.91230990485406
93,府河路二段,19.919370865369665
178,雅和街,20.201010472625
176,雅和南一路,20.349002193564996
46,华阳大道4段-311号,20.719576334256253
99,新程大道,20.769362366973144
137,正西街39号,20.87151850303333
139,正西街65号,20.952800889711764
113,正东下街120号,21.10619910837
75,广宁路,21.42914182269097
124,正东中街69号,21.43173893273913
44,华阳大道4段-153号,21.587239759761538
79,广都上街195号,21.636401049296
168,通济桥下街161,21.90904538688261
20,东寺北二路,22.107590295641668
123,正东中街65号,22.24999086640476
121,正东中街223号,22.605602698668424
83,府河路1段,22.746342503839657
166,蜀州路,22.75014312422188
149,湾河东街,22.774676063150007
37,华新中街101号,22.846679930655554
88,府河路1段-89-、88-、85-、83号,22.855638729318308
43,华阳大道3段-159号,23.014363515507146
84,府河路1段-211号,23.095564684486792
76,广都上街192号,23.14495590117297
92,府河路一段,23.194079209242584
85,府河路1段-217号,23.3382228763921
140,正西街90号,23.355044519047368
