,route,speed
142,正北中街31号,3.40418395137
143,正北中街33号,3.9468604712375
144,正北中街35号,8.22645910705
145,正北中街37号,8.660799105366667
98,府河路1段-95号,9.24518028746
122,正东上街66号,9.285393965273684
18,丁字街28号,10.028237640299999
117,正东上街170号,10.263401983044442
75,天明塘街,11.70615505243684
116,正东上街166号,11.951289254163635
104,政府街41,11.989895066006664
114,梓林巷,12.139579467577779
151,正西街39号,12.4727709019375
173,祥鹤一街,12.617111997890909
191,通济桥下街198,12.781317732601238
17,丁字街18号,12.796968051300002
189,通济桥下街108,12.882157434171155
41,华新中街97号,13.225683333537498
155,正西街68号,13.392827780570002
140,正北上街85号-、83号-、81号,13.470606590075002
115,正东上街153号,13.496533902225002
86,广都上街193,13.64227872142
180,美岸路一段,13.699426580714446
121,正东上街57号,13.8783552266
31,利民二街69,14.031337704275
43,华阳大道2段-218号,14.647053331074998
150,正西街2号,14.877047031199998
91,广都中街239号,14.902900974803922
187,藕塘新街8,15.09259732127
88,广都上街195号,15.138645463880769
84,广宁路,15.19485489274199
64,南湖路,15.289758919183951
21,东寺北二路,15.315181916360716
153,正西街60号,15.38088771914
56,协和上街275,15.434781475860001
141,正北中街2号,15.511081835142859
166,滨江路,15.556722292431333
30,利民一街92,15.614487430741667
55,协和上街127,15.801258067125
109,新程大道,16.20061057566641
95,府河路1段-54-、56号,16.570393506120517
154,正西街65号,16.623140202285715
164,海昌路,16.644577651885307
65,南湖路102,16.978342669888885
181,美岸路三段,17.00765990086667
85,广都上街192号,17.228006913075514
78,富民路3段-101,17.399872123679163
152,正西街42号,17.424548438436364
186,藕塘新街21,17.521239186611112
47,华阳大道3段-159号,17.544712025094736
160,水津街110,17.609836594439997
120,正东上街3,17.622246704903336
156,正西街90号,17.637898824424997
123,正东下街120号,17.70043237004
25,中兴上街239号,17.97861843085652
90,广都中街237号,18.078420382028572
103,张家巷5号,18.280218730645235
26,九里埂路,18.3201285912875
45,华阳大道2段-234-、236号,18.367021161444445
58,南延线,18.66649967787
172,睦邻路,18.69277220032083
44,华阳大道2段-230,18.938364595287922
49,华阳大道4段-153号,18.952813987844447
