,route,speed
141,正北中街35号,6.139787434155555
99,府河路1段-95号,8.485240492076924
123,正东下街120号,10.751020207276923
180,荷韵一街,11.529254664825
169,祥鹤一街,11.717138503312963
150,正西街60号,12.026765933073333
122,正东上街66号,12.191181347429167
121,正东上街57号,12.5583502487
187,通济桥下街198,12.94698196464637
117,正东上街153号,13.301109468661902
185,通济桥下街108,13.330378220507894
84,广宁路,13.335705432804929
148,正西街2号,13.420549826719999
104,张家巷5号,13.540490015049324
44,华阳大道2段-218号,13.72729765060909
158,水韵路,14.158288341686946
61,南湖路,14.463487212249424
103,府河路二段,14.589876685947727
142,正北中街39号,14.717923870749999
62,南湖路102,14.7469808740875
101,府河路3段,14.906098099122987
120,正东上街3,15.018572526845453
143,正北中街43号,15.34269299585
25,中兴上街239号,15.573483942222222
157,水津街110,15.6186403337875
55,协泰北街,15.642669494269226
31,利民一街92,15.658530640591666
97,府河路1段-73-、71号,16.152241163219855
72,天明塘街,16.56229435141515
149,正西街39号,16.577265125210527
17,丁字街28号,16.7511789706375
86,广都上街193,16.755662516844446
140,正北中街2号,16.802107173690004
92,广都中街239号,16.828261189938463
96,府河路1段-54-、56号,16.832488399205264
77,富民路3段-101,17.20993426541818
186,通济桥下街161,17.248102825092502
195,雅和南二路,17.45626573210952
134,正东中街65号,17.521763272124005
151,正西街61号,17.598128574505555
176,美岸路一段,17.655454560474546
46,华阳大道3段,17.846851073830432
50,华阳大道4段-200,18.09170654119
49,华阳大道4段-153号,18.209595700451857
48,华阳大道3段-191号,18.337645457124996
162,海昌路,18.41215978364322
98,府河路1段-89-、88-、85-、83号,18.67919084991163
118,正东上街181号,18.70026443105588
42,华新中街97号,18.832164925673336
47,华阳大道3段-159号,19.233243213394445
111,新程大道,19.29087021933542
45,华阳大道2段-230,19.370726347004346
28,二江路2段-121号,19.630895791736112
133,正东中街241号,19.65363680314444
85,广都上街192号,19.67660062305
88,广都上街195号,19.95937827628529
91,广都中街237号,20.00653140890761
119,正东上街192号,20.153506793668182
24,东林寺北巷,20.188378767344442
57,南湖北路,20.563529968570307
177,美岸路三段,20.603378641868183
94,府河路1段-211号,20.643376312334215
18,丁字街67,20.76378289830625
136,正东中街80号,20.952275917573683
171,祥鹤四街,20.98397957671429
30,凤凰路,21.016047004533334
81,广东街192,21.026769601990736
95,府河路1段-217号,21.084399453088466
89,广都上街49号,21.30968128835
105,政府街41,21.458859019544445
178,美岸路二段,21.474337602178124
144,正西街175号,21.476811003305556
73,天研路,21.69579864019814
153,正西街90号,21.83030670588452
102,府河路一段,22.022166082969747
194,雅和南一路,22.085668077749556
93,府河路1段,22.225851887465794
13,G213(益州大道南二段),22.25693596999771
43,华江路,22.304229985830577
40,华新中街101号,22.386300555950005
131,正东中街223号,22.431453953523082
87,广都上街193号,22.53762277740769
127,正东下街240号,22.788121686744446
59,南湖大道,22.84553918493377
191,锦江路2段,22.956354023010558
21,东寺北二路,22.970047081590003
192,锦江路3段,23.05310196081053
60,南湖西路,23.371228591341673
135,正东中街69号,23.4226265966375
196,顺兴路,23.522988225838642
56,南湖东路,23.907604093604657
146,正西街225号,23.931996242330772
116,梓林巷,24.00733065344861
52,华阳大道4段-311号,24.021528270729416
154,武汉路东段辅路,24.296755098477078
132,正东中街229号,24.361276717184616
80,广东街153,24.432520682072546
37,剑和路一段,24.482546431729993
152,正西街65号,24.806997190847834
125,正东下街1号,24.838600760656824
90,广都中街235号,24.89717379445135
184,通济桥下街,24.9608847148375
197,顺圣路,25.39206901479271
203,龙灯山路,25.42270252174054
145,正西街187号,25.427183855637498
78,富民路4段,25.429492679233338
29,二江路二段,25.56098093854318
163,海洋路,25.82241307854483
51,华阳大道4段-303号,26.771478819869994
19,万顺路一段,26.83251085084917
130,正东中街128号,27.5771242292875
3,G108(麓山大道一段),27.69904666614138
4,G108(麓山大道二段),27.869360331350713
74,宁波路东段,27.885261988125
200,黄龙大道,27.89388618387075
65,和顺路一段,28.04626918493889
22,东寺街,28.282755496599997
71,天府大道南段辅路,28.601195404537496
82,广东街246,28.721046176066665
167,瑞祥路,29.165166163702306
183,蜀州路,29.22649362582383
160,沈阳路东段,29.242546811768182
128,正东下街91号,29.987275525254756
174,绿野路三段,30.162013862951813
32,利民三街88,30.24536452811818
8,G213(天府大道南段),30.56910108622924
6,G213(两江路),30.593963850661204
5,G108辅路,30.826622861115
58,南湖南路,31.393370532618803
83,广东街342,31.49564952115909
107,新码头南街15,31.581482416855554
79,广东街,31.72194332018171
129,正东中街109号,31.87617721876666
179,老成仁路,31.903540912438885
27,二江路1段-307号,31.958858200763633
106,新码头北街32,32.08015722357
12,G213(益州大道南一段),32.69170004362264
11,G213(牧华立交桥),32.85006852764167
7,G213(天府大道南一段),32.870454732909124
