,route,speed,carsnum
24,广宁路,15.205070206315623,8
26,府河路1段-211号,15.84626999545,8
25,广都上街192号,18.053132081900003,8
23,天研路,20.178225295212496,24
45,瑞祥路,20.86809968350555,9
53,雅和南一路,21.737594846284473,10
49,通济桥下街198,21.77401116228906,16
32,府河路二段,22.09456417605,10
31,府河路一段,22.4236755977995,10
28,府河路1段-89-、88-、85-、83号,23.19359808933271,16
30,府河路3段,23.258090240126045,16
27,府河路1段-73-、71号,24.143605881388886,9
39,正西街2号,24.914148430633336,9
18,南湖西路,25.299881980558336,12
50,锦江路2段,25.682191629418185,22
40,正西街65号,26.704513612099998,8
54,雅和南二路,28.197420818631816,11
47,美岸路二段,28.351387724496295,9
9,万顺路一段,29.07327168071667,9
51,锦江路3段,29.75959174156875,16
57,黄龙大道,30.82460864955156,24
17,南湖大道,32.58842437856864,22
16,南湖南路,32.62348252558107,11
33,新程大道,32.787851564263086,14
2,G108(麓山大道一段),33.289983924890535,51
15,南湖北路,33.34683556968159,19
13,华阳大道4段-303号,33.643948548704756,21
56,麓山大道一段,33.841592381796254,8
7,G213(益州大道南二段),34.02686094312627,10
42,沈阳路东段,35.33838298105709,8
8,G213(老成仁路),35.692588220846154,13
48,老成仁路,35.935433963570006,10
3,G108(麓山大道二段),36.103899143784794,24
44,牧华路三段辅路,36.53863303348359,28
4,G213(两江路),36.63446711759722,10
58,龙灯山路,36.65004882303334,9
43,沈阳路西段,36.73167281562917,8
6,G213(天府大道南段),36.803466912984256,54
29,府河路2段,36.86811011745,8
22,天府大道南段辅路,39.808250159958334,18
14,华阳绕城路,40.75524926661111,12
5,G213(天府大道南一段),41.184085563931944,24
20,天府大道南一段辅路,41.518928941566415,16
55,麓山大道1段,43.608063770429375,42
0,G108(牧华路三段),44.04936502870115,78
12,剑南大道南段辅路,47.12431557459429,33
41,武汉路西段辅路,47.19290548292038,8
37,梓州大道辅路,47.2855690044611,30
52,长顺大道一段,47.29987507153863,11
35,梓州大道南一段,49.16256613196148,23
10,剑南大道南一段,50.23777135887175,30
1,G108(牧华路二段),52.854784219085715,14
34,梓州大道,52.966436557618486,23
21,天府大道南段,53.44733225640264,19
11,剑南大道南段,56.836386615220945,43
36,梓州大道南一段辅路,58.021121292478334,10
46,红星路南延线,59.65288250747357,29
19,天府大道南一段,60.7888127886,16
38,正公路,61.07221645200667,12
