,route,speed,carsnum
132,正北中街35号,8.00748107554,10
96,政府街41,9.3912606637,9
131,正北中街33号,9.657128724211113,9
151,滨江路,9.787561929538574,35
41,华阳大道2段-218号,11.647543425612502,24
28,二江路2段-121号,12.230359620988889,9
83,广都中街99号,12.4868075225375,8
170,藕塘街117,12.5186879151375,8
166,美岸路三段,14.05997750923434,33
69,天明塘街,14.118388235357141,14
140,正西街60号,15.375434454313337,15
171,通济桥下街108,15.629134313176001,25
173,通济桥下街198,16.094859042904677,57
23,中兴上街239号,16.209326390704998,10
179,雅和南一路,16.22076840364238,21
75,广宁路,16.515220685834844,44
60,南湖路102,16.5781923729,8
16,丁字街18号,16.69691888842222,9
107,正东上街170号,16.89099625495,10
165,美岸路一段,17.230693131878407,22
130,正北中街2号,17.265084764617242,29
82,广都中街239号,17.325009039984774,46
112,正东上街66号,17.341764559559998,30
99,新程大道,17.38962031380868,78
19,东寺北二路,17.528362829174537,18
17,丁字街28号,17.642183368387503,12
124,正东中街69号,17.88766839294286,14
106,正东上街166号,18.011101161925,8
138,正西街39号,18.031004391386666,15
157,睦邻路,18.248362099469226,13
30,利民三街88,18.8698770075125,8
58,南湖西路,19.072462627327976,54
77,广都上街193,19.102445230083337,18
90,府河路1段-95号,19.32053369652308,13
111,正东上街57号,19.531985865003847,26
180,雅和南二路,19.55779316650357,28
123,正东中街65号,19.807441469096304,27
81,广都中街237号,19.901913927458025,56
51,协和上街127,20.18597920185,8
137,正西街2号,20.204051037593477,46
105,正东上街153号,20.31095928280625,16
148,海昌路,20.37017279000447,47
159,祥鹤四街,20.592329667602563,13
89,府河路1段-89-、88-、85-、83号,20.60194268906849,87
113,正东下街120号,20.7270496074,22
72,富民路3段-101,20.846222359697062,17
46,华阳大道4段-153号,20.957692399791075,28
150,湾河西街,21.20000656958333,9
43,华阳大道3段,21.391018831875,16
78,广都上街193号,21.43596711074,25
76,广都上街192号,21.55595411814575,47
88,府河路1段-73-、71号,21.865430373453616,69
53,南延线,21.8815066817625,12
79,广都上街195号,22.03095580882,25
42,华阳大道2段-230,22.338296107750914,55
12,G213(益州大道南二段),22.451785976108887,39
59,南湖路,22.487724169220147,28
40,华新中街97号,22.59948396657778,18
125,正东中街80号,22.64592434314286,21
142,正西街90号,22.817046353662764,47
20,东寺街,23.142330153670102,30
48,华阳大道4段-311号,23.347430072411537,26
95,张家巷5号,23.41970328263549,31
167,美岸路二段,23.525885705639233,35
87,府河路1段-54-、56号,23.7957987231025,40
176,锦江路2段,23.82274308057034,86
38,华新中街101号,23.992208325106667,15
153,物联一路,24.141690937490907,11
70,天研路,24.309842462999434,47
187,龙灯山路,24.516777730452734,55
104,梓林巷,24.627227795502222,15
110,正东上街3,24.666258889191305,23
155,瑞祥路,25.014905610807986,24
172,通济桥下街161,25.033327332779997,10
141,正西街65号,25.275419573936844,19
94,府河路二段,25.597752674456665,20
139,正西街42号,25.8250228730375,8
44,华阳大道3段-159号,26.02738516709412,17
109,正东上街192号,26.43675692434,40
108,正东上街181号,26.447852989111432,35
126,正东中街99号,26.740770494363634,11
119,正东中街128号,26.864311977964288,14
184,黄龙大道,26.927089537197798,61
62,和顺路一段,27.028987640777775,9
84,府河路1段,27.106075527291175,17
74,广东街,27.23922915926092,12
52,协泰北街,27.24517455938947,19
134,正西街187号,27.270922407290005,20
55,南湖北路,27.39975895256286,62
4,G108(麓山大道二段),27.479711927480945,98
115,正东下街1号,27.485096804,17
80,广都中街235号,27.788547526394563,46
133,正西街175号,27.99548531981818,11
68,天府大道南段辅路,28.128882753496292,120
116,正东下街240号,28.312241529599998,8
160,空港四路,28.427131638070367,9
39,华新中街162,28.795398313246157,13
93,府河路一段,28.85412227943882,31
92,府河路3段,28.90012853357244,26
18,万顺路一段,28.96315099450323,35
45,华阳大道3段-191号,29.163854562088886,9
22,东林寺北巷,29.329202640674996,16
181,顺兴路,29.38193732296667,15
117,正东下街91号,29.448876034954047,37
29,二江路二段,29.44919017065,16
121,正东中街223号,29.563841567452634,19
168,老成仁路,29.8324221847375,40
47,华阳大道4段-303号,29.84192758249111,101
24,九里埂路,29.949765198837504,8
73,富民路4段,29.984490991896667,10
3,G108(麓山大道一段),30.167693380366856,145
57,南湖大道,30.209699045017203,110
154,物联大道,30.358648215698487,11
85,府河路1段-211号,30.36043227272,30
25,二江路1段,30.556695579878575,14
35,剑和路一段,30.869214341181817,11
86,府河路1段-217号,30.932321374575,16
26,二江路1段-307号,31.002739675537498,8
7,G213(天府大道南段),31.17681331789349,273
6,G213(天府大道南一段),31.471800943330802,76
13,G213(老成仁路),31.607512262005002,40
149,海洋路,31.909294926446048,49
5,G213(两江路),32.07674927187165,58
135,正西街225号,32.09825292965001,8
71,定安路,32.38712870912813,16
0,,32.40164220662475,35
27,二江路1段-419号,32.605917214,8
177,锦江路3段,32.62936896297943,51
10,G213(牧华立交桥),32.79119631418,20
56,南湖南路,32.85129825501142,47
122,正东中街229号,33.137600419983336,12
120,正东中街134号,33.457115712672724,11
147,沈阳路西段,33.5228624912522,38
97,新码头南街47号,33.71073598100588,17
156,益州大道南一段,33.74041655485106,38
54,南湖东路,34.1696086469224,29
174,钟灵路,34.187503755527274,11
145,江畔路,34.278241100438144,26
183,麓山大道一段,34.368495753649235,11
11,G213(益州大道南一段),35.03701223689653,29
144,武汉路西段辅路,35.0556259240558,63
15,Y008,35.128326119426916,17
169,蓉府一路,35.4867305814,8
91,府河路2段,35.51344927570625,16
163,绿野路三段,35.61517094944137,60
118,正东中街109号,35.864794497393746,16
146,沈阳路东段,36.67470464169479,16
98,新码头街2,36.937492416125,16
49,华阳绕城路,37.42472582352305,41
21,东山大道一段,37.4478258417433,16
103,梓州大道辅路,37.57037594305487,132
152,牧华路三段辅路,38.29788785079915,116
129,正兴湾大桥,38.49610518248226,33
114,正东下街149号,38.530333577046164,13
162,绿野路一段,38.580807037763634,11
158,祥鹤二街,38.623273560830214,32
36,华府大道3段,38.76265939707223,27
136,正西街292号,39.037768433,16
1,G108(牧华路三段),39.43229731203812,276
31,剑南大道南一段,39.72605377506839,127
161,红星路南延线,40.865835774603774,105
102,梓州大道南一段辅路,41.157582527685,34
182,麓山大道1段,41.18111302653658,144
127,正公路,41.6080696535951,27
9,G213(沈阳路西段),41.8026959358463,27
100,梓州大道,42.29314627405987,76
143,武汉路西段,42.913419465023516,56
164,绿野路二段,43.64796577668356,8
34,剑南大道南段辅路,44.01036983777292,115
175,锦江西43路,44.65978952971716,30
