,route,speed,carsnum
232,瑞祥东街,3.70699295019,15
188,正北中街31号,6.5150896899,8
184,正北上街102号,7.6395323042125,8
190,正北中街35号,9.27914357262857,14
134,府河路1段-95号,10.359237535811765,17
238,祥鹤一街,10.469282754777083,32
163,正东上街66号,10.632445990791936,62
189,正北中街33号,10.755454293220001,10
158,正东上街170号,10.819602802517391,23
20,丁字街18号,11.55290071485,16
21,丁字街28号,11.789073860257144,28
45,云龙路,11.954678623592049,28
191,正北中街37号,12.18843551059375,16
176,正东中街241号,12.23540399951,10
157,正东上街166号,12.294797869630772,26
213,水津街110,12.412968642866668,30
221,湾河东街35号,12.670671835755556,9
105,富民路2段-52,12.90944679476842,19
130,府河路1段-54-、56号,13.312632766698798,83
139,张家巷5号,13.395181741161903,63
115,广宁路,13.521722690133597,93
203,正西街57号,13.721822827363638,11
76,华阳大道4段-313,13.801899189550003,9
186,正北上街85号-、83号-、81号,13.917707939646153,13
38,九里埂路,13.92017282991818,11
264,通济桥下街108,14.02421424448152,46
192,正北中街43号,14.082040339941665,12
268,通济桥街166号,14.109971958020001,10
106,富民路3段,14.150263845649999,10
247,美岸路一段,14.226316204466178,34
99,天明塘街,14.626847205980436,23
266,通济桥下街198,14.636693667948157,124
87,南湖路,14.758217070873762,61
42,二江路2段-121号,14.9749469214,18
68,华阳大道3段-147号,15.009311007774999,8
31,中兴上街239号,15.028275076687498,12
155,正东上街153号,15.06321462941143,35
162,正东上街57号,15.082017821508199,61
138,府河路二段,15.22175750975108,37
235,田家寺巷,15.432374739572916,8
164,正东下街120号,15.548969662239623,53
248,美岸路三段,15.646348653794446,36
161,正东上街3,15.747123848414706,51
219,海洋路,15.76492485048823,133
131,府河路1段-73-、71号,15.770209003853767,146
73,华阳大道4段-200,15.772374045999998,12
260,藕塘街117,15.85946186947,10
204,正西街60号,15.980515639017392,46
193,正北中街64号,16.064530293,12
194,正北中街68号,16.12761654842381,21
218,海昌路,16.29898324893861,147
133,府河路1段-92号,16.413772201589286,14
136,府河路3段,16.465609527493484,87
126,广都中街239号,16.56792524836245,79
200,正西街2号,16.591770731885585,112
64,华阳大道2段-218号,16.61495440469,40
147,新程大道,16.65475967889144,141
112,广东街192,16.696850810041177,17
141,政府街41,16.965317895961604,28
206,正西街65号,17.002931439368417,38
22,丁字街67,17.018809223960417,24
75,华阳大道4段-311号,17.072990857543484,69
258,藕塘新街76,17.11277772671786,14
263,通济桥下街,17.121335922859164,14
48,利民一街92,17.17453232808,15
252,荷韵一街,17.242751457366666,9
201,正西街39号,17.752264295422727,44
154,梓林巷,17.757510636082596,21
6,G108(麓山大道二段),17.879602133976803,244
202,正西街49号,17.914202421711764,17
62,华新中街97号,18.036925524133338,27
185,正北上街80号,18.0514227122,18
132,府河路1段-89-、88-、85-、83号,18.31025469021487,210
205,正西街61号,18.343907694622217,18
26,东寺北二路,18.44544976098901,37
71,华阳大道4段,18.533409931466664,9
223,湾河西街,18.68286589228334,9
111,广东街153,18.8688682391475,20
187,正北中街2号,18.936108654615303,49
67,华阳大道3段,18.993491372204993,40
117,广都上街11号,19.008435624092307,13
70,华阳大道3段-191号,19.164842088224997,24
119,广都上街193,19.211618707169997,30
129,府河路1段-217号,19.22123171994891,46
122,广都上街49号,19.357835438257144,28
118,广都上街192号,19.433203160660685,117
28,东山大道1段,19.8580368738625,8
159,正东上街181号,19.90738966557272,66
72,华阳大道4段-153号,20.08928417301146,48
79,协和上街275,20.21962571446,10
254,荷韵二街,20.304887912602084,8
237,睦邻路,20.326057091564582,24
222,湾河街,20.389440240823806,14
65,华阳大道2段-230,20.472264809723715,97
208,正西街90号,20.503984116845597,87
108,富民路3段-92,20.504662045333333,9
265,通济桥下街161,20.571854718885938,32
224,滨江路,20.636647273721035,264
274,雅和南一路,20.67855596518436,50
240,祥鹤四街,20.81706911674765,39
128,府河路1段-211号,20.947712623593848,65
35,丽都街165号,21.031605053546667,15
137,府河路一段,21.034174975699305,70
114,广东街342,21.043331648688092,14
100,天研路,21.36178497764065,120
168,正东下街240号,21.36222681381818,11
287,龙灯山路,21.491223064913523,122
82,南湖东路,21.580227397871294,108
69,华阳大道3段-159号,21.760566141197557,41
177,正东中街65号,21.81477582267778,45
275,雅和南二路,21.961195859744638,59
125,广都中街237号,21.97610140868761,113
207,正西街68号,22.295698040140003,10
233,瑞祥西街,22.341064209512876,22
81,南延线,22.34377527871591,22
120,广都上街193号,22.366242119299997,33
259,藕塘新街8,22.452005940725,12
86,南湖西路,22.483775944874015,143
178,正东中街69号,22.600189179126414,53
229,物联一路,22.604923295859724,18
121,广都上街195号,22.61087681327636,55
271,锦江路2段,22.716018056960717,205
15,G213(益州大道南二段),22.73149200115647,91
85,南湖大道,22.936964033342207,334
5,G108(麓山大道一段),23.1522041344745,408
107,富民路3段-101,23.46035398334565,23
66,华阳大道2段-234-、236号,23.535909417035715,14
160,正东上街192号,23.677858541011112,81
101,宁波路东段,23.742592622009287,26
33,丽都街100号,23.749317448319996,10
44,云龙东街,24.023528179699998,24
179,正东中街80号,24.20333785610339,59
32,中彭路,24.38374602758556,9
36,丽都街56号,24.505328119836363,11
166,正东下街1号,24.72812953027675,38
288,龙马路,24.750261390060146,93
98,天府大道南段辅路,24.768058938645837,295
124,广都中街235号,24.827722592741967,87
113,广东街246,24.872198232163644,11
