,route,speed
176,瑞祥东街,3.183152070103571
147,正北中街35号,10.031244822889999
124,正东上街170号,10.591776659636364
129,正东上街66号,11.19191351540714
198,通济桥下街108,11.54078319288261
18,丁字街28号,11.710598368073335
181,祥鹤一街,11.872314674755076
17,丁字街18号,12.027116869099999
149,正北中街43号,12.806022252425
165,水津街110,12.822779849370587
189,美岸路三段,13.04340340451579
200,通济桥下街198,13.11606543582641
35,云龙路,13.319485702395003
170,海昌路,13.492459710566642
100,府河路1段-54-、56号,13.578035248658137
123,正东上街166号,13.658154143850002
188,美岸路一段,13.908507539769232
55,华阳大道4段-311号,13.921907243506253
128,正东上街57号,14.010902293233332
148,正北中街37号,14.011162148424999
81,富民路2段-52,14.06238294937
150,正北中街68号,14.25934273188
90,广都上街193,14.272702011083332
158,正西街60号,14.485914588117389
76,天明塘街,14.70936447228889
122,正东上街153号,14.828279731350001
101,府河路1段-73-、71号,15.225786309290667
106,府河路二段,15.448238572901785
4,G108(麓山大道二段),15.511121399826196
127,正东上街3,15.515905943936843
130,正东下街120号,15.606965290788889
109,政府街41,15.716173377945
88,广宁路,15.797755393686876
107,张家巷5号,15.837069845843747
65,南湖路,15.87269737174844
115,新程大道,15.929093533996449
36,利民一街92,15.9431570064375
48,华阳大道2段-218号,16.061326990359092
171,海洋路,16.165227072529813
96,广都中街239号,16.265397281603946
104,府河路3段,16.599569363120718
197,通济桥下街,16.82401188987283
32,二江路2段-121号,16.938440288662502
102,府河路1段-89-、88-、85-、83号,17.04400963939986
159,正西街65号,17.16670813158636
172,滨江路,17.236735655531664
92,广都上街195号,17.476759742793334
218,龙马路,17.480442761423927
156,正西街39号,17.49934558089565
155,正西街2号,17.569323679864514
22,东寺北二路,17.970245432303614
50,华阳大道3段,18.071495671609522
53,华阳大道4段-153号,18.5118761928
46,华新中街97号,18.90654957187143
157,正西街49号,18.925304863718182
49,华阳大道2段-230,19.2222905759102
125,正东上街181号,19.26794558168182
89,广都上街192号,19.32686251799818
52,华阳大道3段-191号,19.498454560114286
86,广东街192,19.696254352081816
99,府河路1段-217号,19.959236952290382
145,正北上街80号,19.996384252607147
93,广都上街49号,20.16444836498
207,雅和南一路,20.301953763215753
51,华阳大道3段-159号,20.324171759726323
160,正西街90号,20.350768273598806
180,睦邻路,20.495608084985
85,广东街153,20.511537937072724
177,瑞祥西街,20.56962013343453
78,宁波路东段,20.783950127333974
121,梓林巷,20.984930191162498
64,南湖西路,20.99840373594583
217,龙灯山路,21.149542132491664
91,广都上街193号,21.1893827677125
208,雅和南二路,21.371385596139657
69,和顺路一段,21.4265088991
60,南湖东路,21.491786314602415
142,正公路,21.51115327453144
204,锦江路2段,21.528685665819243
77,天研路,21.65336037495056
19,丁字街67,21.776441409866663
146,正北中街2号,21.79559138280172
183,祥鹤四街,21.810438851773267
63,南湖大道,21.911136841373008
199,通济桥下街161,22.005323244188887
126,正东上街192号,22.030455523966662
59,南延线,22.188053521565003
138,正东中街65号,22.196536505933327
3,G108(麓山大道一段),22.222848600095556
95,广都中街237号,22.24609668098437
82,富民路3段-101,22.626748734163336
27,丽都街165号,23.077705756836362
37,利民三街88,23.146105492430003
94,广都中街235号,23.714260010217856
44,华新中街101号,23.927667900556248
98,府河路1段-211号,23.948808487134283
151,正西街175号,23.968853798425
139,正东中街69号,24.006983814034616
174,牧鱼一路,24.10477195215556
87,广东街246,24.2604586844625
136,正东中街223号,24.637436824528002
140,正东中街80号,24.68533560108148
132,正东下街1号,24.928599815621425
215,黄龙大道2段,25.076267922640003
34,云龙东街,25.107083328054546
80,定安路,25.128078380410003
28,丽都街56号,25.252493561074996
33,二江路二段,25.538241686526316
13,G213(益州大道南二段),25.702676941792618
133,正东下街91号,25.797765930091114
83,富民路4段,25.89517678532632
105,府河路一段,26.10860365495599
141,正东中街99号,26.177190898600006
75,天府大道南段辅路,26.302650939529126
152,正西街187号,26.34152604032857
195,蜀州路,26.374448255656
190,美岸路二段,26.56263019139986
11,G213(牧华立交桥),26.76366104627308
8,G213(天府大道南段),26.766656802397456
178,瑞祥路,27.099479544784547
23,东寺街,27.105194719077975
14,G213(老成仁路),27.22544605846818
209,顺兴路,27.228128419388188
61,南湖北路,27.305121702203916
194,藕塘新街8,27.5349877649375
26,丽都街163号,27.6178810033875
153,正西街225号,28.03728427624445
25,东林寺北巷,28.116783855619225
169,沈阳路西段,28.154012229232883
31,二江路1段-307号,28.444384377999995
45,华新中街162,28.5863698092
7,G213(天府大道南一段),29.011390622311534
47,华江路,29.173218709632362
21,万顺路一段,29.261911634920406
137,正东中街229号,29.741220099775003
191,老成仁路,29.87549433869221
110,新码头北街32,30.050119683081256
6,G213(两江路),30.364049557766982
111,新码头南街15,30.503961223140625
39,剑南大道南一段辅路,30.53796438554839
54,华阳大道4段-303号,30.5390702439317
29,丽都街75号,30.7360931207
62,南湖南路,30.877987366621745
213,黄龙大道,31.06353906608142
97,府河路1段,31.193281315169227
58,协泰北街,31.27730079173
66,南湖路102,31.4002591733
164,武汉路西段辅路,31.55005699417657
135,正东中街134号,31.59896743304285
108,悦和一街,31.624762524841664
205,锦江路3段,31.627361684020656
211,麓山大道1段,31.701638968254613
167,江畔路,31.890085048897483
5,G108辅路,31.947259886933335
212,麓山大道一段,32.02049673664817
144,正兴湾大桥,32.22033478039981
84,广东街,32.30549617016718
192,荷韵东路,32.403040790605004
210,香沙路,32.581874347988
193,藕塘新街21,32.62484130641111
38,剑南大道南一段,32.96414388383338
74,天府大道南段,33.124628871596066
103,府河路2段,33.177569402924995
30,二江路1段,33.367032045654994
166,汉州路,33.42315951688077
168,沈阳路东段,33.42906080500009
134,正东中街109号,34.10014707567369
185,绿野路一段,34.46736057634231
120,梓州大道辅路,35.073951017488014
12,G213(益州大道南一段),35.19125729484909
42,华府大道3段,35.44795269255662
56,华阳绕城路,35.50006493753282
163,武汉路西段,35.538669706032366
112,新码头南街47号,35.708643539196004
1,G108(牧华路三段),35.90189168755097
20,万东路,36.04334100413333
119,梓州大道南一段辅路,36.067366275489285
206,长顺大道一段,36.128813360854174
186,绿野路三段,36.16785523793322
79,宁波路东段辅路,36.34215978703334
201,通济桥街10,38.147649057455546
184,红星路南延线,38.386833581014706
162,武汉路东段辅路,38.64044242384127
154,正西街292号,38.737407815835006
117,梓州大道,39.20988342845737
131,正东下街149号,40.02797488241875
24,东山大道一段,40.633710823462536
196,货运大道,40.72679095994916
118,梓州大道南一段,40.94520255100222
0,,42.01863917436096
16,Y008,42.26189051762067
40,剑南大道南段,42.49368788630165
2,G108(牧华路二段),42.796324807177484
175,物联大道,42.83304599926539
73,天府大道南二段辅路,43.045482345286146
113,新码头街2,43.31260856122727
41,剑南大道南段辅路,44.14256890084982
68,双黄路,46.19172139204114
71,天府大道南一段辅路,46.24008137923621
187,绿野路二段,46.562464858550946
116,杭州路东段,47.32921521147875
173,牧华路三段辅路,48.075255231507555
67,双兴大道,49.019273762000836
143,正公路辅路,50.5258975713286
70,天府大道南一段,50.79107924127505
202,钟灵路,50.806134089124
10,G213(沈阳路西段),50.939486942082866
114,新码头街2号,51.165550931949994
72,天府大道南二段,51.87833724901479
182,祥鹤二街,53.30108020780926
43,华府大道四段,54.820318980885645
179,益州大道南一段,55.364676125423195
203,锦江西43路,55.532153537791466
15,X062(剑南大道南段),55.56014797492129
9,G213(成仁路),55.608714486404565
57,协中路,60.756360395921746
161,武汉路东段,60.85955490135404
216,黄龙大道一段,65.62812518558698
214,黄龙大道1段,71.18546038877693
