,route,speed,carsnum
173,正北中街37号,3.8050405132375005,16
121,府河路1段-95号,6.1004879589411765,17
232,通济桥下街108,6.64757239683387,31
126,张家巷5号,8.323928319385713,56
140,正东上街166号,8.35368838389091,22
146,正东上街66号,8.447533893015908,44
141,正东上街170号,8.855369724562502,24
178,正西街231号,8.943005896075002,8
171,正北上街95,9.068570595115789,19
234,通济桥下街198,9.068855202468237,124
117,府河路1段-54-、56号,9.590612122033928,56
145,正东上街57号,9.954121126449056,53
138,正东上街153号,9.967938850666666,39
169,正北上街82号-附1号,10.45004382079091,11
193,水津街110,10.520527336248332,30
174,正大街61,10.544934517287501,8
96,富民路3段,10.646682582483335,12
147,正东下街120号,10.84102846839643,28
185,正西街60号,11.217403315832355,34
188,正西街68号,11.264046034072727,11
153,正东中街103号,11.55809152376154,13
72,协和上街14号,11.570312439979999,10
74,协泰北街,11.61623798405,38
229,西寺路,11.675121722648148,9
20,丁字街28号,12.113954534462964,27
182,正西街39号,12.14656496054091,44
210,祥鹤一街,12.268385174510527,19
219,美岸路三段,12.27921485276613,31
62,华阳大道3段-147号,12.324545681008333,12
30,中兴上街239号,12.526893038305882,17
114,府河路1段,12.55428713855,28
179,正西街282号,12.612272030549999,10
57,华新中街97号,12.936354352520933,43
59,华阳大道2段-218号,13.01891482725366,41
115,府河路1段-211号,13.03418007529259,54
104,广宁路,13.04826008202484,71
116,府河路1段-217号,13.241938543188887,36
120,府河路1段-92号,13.407334487462498,8
157,正东中街169号,13.416118612337499,8
106,广都上街193,13.576200127711111,18
144,正东上街3,13.585403042629785,47
92,天明塘街,13.605293158940004,20
181,正西街2号,13.658427069331369,102
66,华阳大道4段-200,13.67037677746667,12
184,正西街49号,13.686119529742857,21
218,美岸路一段,13.839960439928335,30
36,丽都街75号,13.843535355069234,13
187,正西街65号,14.259148764123731,59
61,华阳大道3段,14.260967901282859,35
118,府河路1段-73-、71号,14.278900703736328,117
172,正北中街2号,14.331832426288333,30
19,丁字街18号,14.637323986539998,15
168,正北上街80号,15.056616295129412,17
77,南湖北路,15.14473498856278,118
170,正北上街85号-、83号-、81号,15.2198453642125,16
73,协和上街275,15.310957122291176,17
243,雅和街,15.34805638792143,14
186,正西街61号,15.460908912532142,28
21,丁字街67,15.824668789664818,27
35,丽都街56号,15.855375281789472,19
32,丽都街100号,16.028095514611767,17
119,府河路1段-89-、88-、85-、83号,16.133937351896677,184
113,广都中街239号,16.193872139407254,62
63,华阳大道3段-159号,16.306739510628002,25
197,海昌路,16.332616297436253,100
209,睦邻路,16.477966035477777,9
239,锦江路3段,16.494401260022894,83
161,正东中街65号,16.53579853862727,55
60,华阳大道2段-230,16.590029738494444,72
109,广都上街49号,16.62512894642647,34
125,府河路二段,16.627627908883557,45
233,通济桥下街161,16.669111043580234,43
124,府河路一段,16.932145439574732,61
64,华阳大道3段-191号,17.054097202692855,14
226,藕塘新街76,17.08817054913889,9
123,府河路3段,17.108949796699065,78
69,华阳大道4段-313,17.2731818194125,8
189,正西街90号,17.313875190400537,94
68,华阳大道4段-311号,17.41294077709375,48
164,正东中街99号,17.426076861417858,28
132,新程大道,17.461752421409955,74
101,广东街192,17.482235476493333,15
142,正东上街181号,17.81277150383279,61
52,华新中街101号,18.106660779103123,32
105,广都上街192号,18.167669567816667,72
154,正东中街109号,18.242543766372723,44
200,湾河街,18.271741361685418,12
227,藕塘新街8,18.299208397507694,13
183,正西街42号,18.549985145645454,11
108,广都上街195号,19.170442094635415,48
163,正东中街80号,19.38231608465417,48
33,丽都街163号,19.38744185091905,21
37,九里埂路,19.39172289279375,8
162,正东中街69号,19.62347577157021,47
103,广东街342,19.69229008395,9
81,南湖路,19.733319824966134,62
100,广东街153,19.749464235293743,16
139,正东上街157号,20.184821090849997,8
143,正东上街192号,20.380789818251852,54
93,天研路,20.418321702651106,115
43,利民一街92,20.494703073055557,9
176,正西街187号,20.53023139,35
107,广都上街193号,20.60774464978,40
241,雅和南一路,20.71317393522104,46
149,正东下街1号,20.800562642300005,33
80,南湖西路,21.2055059500894,96
41,二江路2段-121号,21.397620452228573,14
238,锦江路2段,21.457724090560394,182
231,通济桥下街,21.806753999350004,18
75,南延线,21.88896681495,16
158,正东中街223号,21.937366059434087,44
242,雅和南二路,21.953101478576112,30
112,广都中街237号,22.151184601334506,71
252,龙灯山路,22.18619009208358,67
127,政府街41,22.316131419922723,22
79,南湖大道,22.3810872606329,302
65,华阳大道4段-153号,22.48006646965147,34
97,富民路3段-101,22.661262946321425,14
34,丽都街165号,22.690687747191305,23
198,海洋路,22.763676835386125,188
159,正东中街229号,22.821916475684,50
98,富民路4段,23.220542422018422,19
56,华新中街226号,23.257268537278566,14
220,美岸路二段,23.75784005481199,37
175,正西街175号,23.947074064408888,45
42,二江路二段,23.969659449598076,26
84,和顺路一段,24.053195707067015,19
160,正东中街241号,24.189453026823806,21
250,黄龙大道2段,24.328354397080957,21
137,梓林巷,24.61503830689063,16
221,老成仁路,24.807514906598715,39
111,广都中街235号,24.89921680638584,60
155,正东中街128号,25.009467189915,20
223,荷韵南路,25.10697292207833,12
110,广都上街5号,25.1467469668,8
177,正西街225号,25.507586214636365,33
225,藕塘新街21,25.611700308636113,12
152,正东下街91号,25.66194585827929,91
99,广东街,25.80165459631629,22
156,正东中街134号,25.852144817243996,25
31,中彭路,25.912330974943888,15
54,华新中街221号,25.9993902328875,8
102,广东街246,26.591523053816662,12
4,G108(麓山大道一段),26.60214484474436,298
44,利民三街88,27.06717513366154,13
76,南湖东路,27.073160208955937,76
180,正西街292号,27.26818919212727,22
53,华新中街162,27.365566427478786,33
25,东寺北二路,27.567602293599993,19
5,G108(麓山大道二段),27.799530986412375,169
244,顺兴路,27.831399819931942,36
67,华阳大道4段-303号,27.942316136739002,146
91,天府大道南段辅路,27.945207520997826,173
26,东寺街,27.97632971715519,26
224,荷韵路,27.99455655491,10
49,剑和路一段,28.168977077590473,21
40,二江路1段-419号,28.47638673494167,12
206,瑞祥西街,29.21384543569107,14
39,二江路1段-307号,29.267105718803997,25
151,正东下街240号,29.290663620274998,8
207,瑞祥路,29.372831752059575,47
248,黄龙大道,29.54885497466174,100
55,华新中街225号,29.669044006874998,8
9,G213(天府大道南段),29.91355624487319,516
78,南湖南路,29.98311457777312,100
12,G213(牧华立交桥),30.11842275101052,38
7,G213(两江路),30.21021278352735,78
29,东林寺北巷,30.43770290417369,19
245,香沙路,30.478938130845165,20
122,府河路2段,30.518907658821664,30
23,万顺路一段,30.635735013396776,55
150,正东下街217号,30.741816746373082,26
240,长顺大道一段,31.23573551642081,90
228,蜀州路,31.724355891651115,15
58,华江路,31.97598171114375,12
0,,32.25541020295351,29
216,绿野路三段,32.40792653917175,96
6,G108辅路,32.46722105835,23
204,物联一路,32.650532211058035,8
38,二江路1段,32.70977545383143,35
195,沈阳路东段,32.90972110833403,36
148,正东下街149号,33.197666176344896,49
13,G213(益州大道南一段),33.53785159923878,20
212,祥鹤四街,33.65162448031666,9
8,G213(天府大道南一段),33.66627235256549,157
95,定安路,34.037767566334786,23
194,江畔路,34.43471518626798,26
203,牧鱼街,34.78056649485846,13
136,梓州大道辅路,34.80019345118031,254
14,G213(益州大道南二段),34.91252383362127,30
128,新码头北街32,35.07399378793333,12
85,回龙寺路,35.106443305620374,9
235,通济桥街10,35.22354647359687,32
27,东山大道1段,35.225123868000004,13
247,麓山大道一段,35.372797602238535,41
15,G213(老成仁路),36.04787406055882,102
211,祥鹤二街,36.40127361700641,39
87,天府大道南一段辅路,36.49276323136171,77
202,牧华路三段辅路,36.87752214592312,202
129,新码头南街47号,37.49642998567143,21
28,东山大道一段,37.97701628379866,30
70,华阳绕城路,38.74774419787081,87
48,剑南大道南段辅路,38.87388831666772,280
215,绿野路一段,39.79482228064643,28
196,沈阳路西段,40.33599955781138,37
18,Y008,41.01102408221832,24
130,新码头街2,41.01488333693334,21
246,麓山大道1段,41.02876797445682,264
213,空港四路,41.31458488157917,16
11,G213(沈阳路西段),41.45545527613056,18
214,红星路南延线,41.688311829929866,198
1,G108(牧华路三段),41.713534194870626,527
222,荷韵东路,42.14081016263333,13
16,X062(剑南大道南段),42.233925736991964,80
133,梓州大道,43.15124585752633,164
50,华府大道3段,43.79626248161885,53
201,滨江路,44.1618459945786,16
94,宁波路东段,44.24424272475926,9
45,剑南大道南一段,44.330765638463156,211
131,新码头街2号,44.4469837196,9
24,万顺路二段,44.90475049878182,11
83,双黄路,44.94578070005371,27
90,天府大道南段,45.02777451567918,140
205,物联大道,45.09766346402622,15
230,货运大道,45.14693155863215,9
167,正兴湾大桥,45.46952471226904,35
192,武汉路西段辅路,46.685044606949056,53
82,双兴大道,47.14455410331801,27
22,万东路,47.60937376152,15
217,绿野路二段,47.95753310489994,19
10,G213(成仁路),48.0974906191631,21
135,梓州大道南一段辅路,48.68300335207026,70
134,梓州大道南一段,49.05866078551089,143
199,温家山路,49.29655100969231,13
47,剑南大道南段,49.42847753309003,336
2,G108(牧华路二段),49.5501252183609,115
236,钟灵路,50.744665946736106,18
51,华府大道四段,53.66207924551596,19
190,武汉路东段辅路,53.74891416973453,9
165,正公路,53.780723050633924,38
17,X062辅路,54.173059628336645,18
3,G108(生物城中路一段),54.73060529252209,8
166,正公路辅路,54.791201278508254,23
86,天府大道南一段,56.1790733085062,64
191,武汉路西段,57.655919412914386,37
46,剑南大道南一段辅路,57.796399360436034,103
89,天府大道南二段辅路,58.528968090423916,19
208,益州大道南一段,59.63097764757512,13
71,协中路,61.68416363278872,62
251,黄龙大道一段,61.89555093805521,32
237,锦江西43路,62.79409199667197,11
88,天府大道南二段,64.69130295210488,41
249,黄龙大道1段,67.69340097750808,31
